Room Name,Day,Start Time,End Time,Subject Code,Section ID,Teacher Name
Room 168,Friday,12:00:00,13:00:00,29,SEC031,De Asis De Asis
Room 168,Monday,11:00:00,12:00:00,181,SEC035,Alejo Alejo
Room 168,Monday,16:00:00,17:00:00,14,SEC062,Cabasbas Cabasbas
Room 168,Saturday,7:30:00,8:30:00,154,SEC032,Obedoza Obedoza
Room 168,Saturday,16:00:00,17:00:00,231,SEC071,Bitancor Bitancor
Room 168,Thursday,10:30:00,11:00:00,18,SEC050,Morales Morales
Room 168,Tuesday,10:30:00,11:00:00,3,SEC048,Canadilla Canadilla
Room 168,Tuesday,12:00:00,13:00:00,181,SEC071,Alejo Alejo
Room 168,Wednesday,9:30:00,10:00:00,19,SEC040,De Lara De Lara
Room 168,Wednesday,14:00:00,15:00:00,149,SEC027,Bacongallo Bacongallo
Room 168,Wednesday,16:00:00,17:00:00,184,SEC071,Bitancor Bitancor
