Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC051,,ANGEL OF PEACE,Grade 10,10,223,ICT 10,Layag Layag,Room 133,Friday,8:30:00,9:30:00
SEC051,,ANGEL OF PEACE,Grade 10,10,25,Filipino 10,Abanto Abanto,Room 130,Friday,12:00:00,13:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,28,Science & Health 10,De Asis De Asis,Room 240,Friday,12:00:00,13:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,26,English 10,Abanto Abanto,Room 228,Friday,14:00:00,15:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,28,Science & Health 10,De Asis De Asis,Room 115,Friday,14:00:00,15:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,221,Robotics 10,Ballesteros Ballesteros,Room 250,Monday,7:30:00,8:30:00
SEC051,,ANGEL OF PEACE,Grade 10,10,25,Filipino 10,Abanto Abanto,Room 186,Monday,9:30:00,10:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,30,Christian Living Education 10,Barretto Barretto,Room 109,Monday,9:30:00,10:30:00
SEC051,,ANGEL OF PEACE,Grade 10,10,31,MAPEH 10,Alonzo Alonzo,Room 166,Monday,14:00:00,15:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,25,Filipino 10,Abanto Abanto,Room 130,Monday,15:00:00,16:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,32,TLE 10,Baraquel Baraquel,Room 146,Saturday,8:30:00,9:30:00
SEC051,,ANGEL OF PEACE,Grade 10,10,26,English 10,Abanto Abanto,Room 119,Saturday,13:00:00,14:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,30,Christian Living Education 10,Barretto Barretto,Room 199,Saturday,15:00:00,16:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,29,Araling Panlipunan 10,De Asis De Asis,Room 107,Thursday,10:30:00,11:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,153,Reading and Literacy 10,Abanto Abanto,Room 215,Thursday,11:00:00,12:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,27,Mathematics 10,De Asis De Asis,Room 142,Thursday,13:00:00,14:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,223,ICT 10,Layag Layag,Room 140,Thursday,16:00:00,17:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,26,English 10,Abanto Abanto,Room 170,Thursday,16:00:00,17:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,28,Science & Health 10,De Asis De Asis,Room 191,Thursday,16:00:00,17:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,31,MAPEH 10,Barretto Barretto,Room 249,Thursday,16:00:00,17:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,29,Araling Panlipunan 10,De Asis De Asis,Room 145,Tuesday,7:30:00,8:30:00
SEC051,,ANGEL OF PEACE,Grade 10,10,32,TLE 10,Baraquel Baraquel,Room 194,Tuesday,10:00:00,11:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,27,Mathematics 10,De Asis De Asis,Room 107,Tuesday,13:00:00,14:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,30,Christian Living Education 10,Alonzo Alonzo,Room 224,Tuesday,14:00:00,15:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,31,MAPEH 10,Barretto Barretto,Room 225,Wednesday,10:30:00,11:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,29,Araling Panlipunan 10,De Asis De Asis,Room 207,Wednesday,13:00:00,14:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,27,Mathematics 10,De Asis De Asis,Room 138,Wednesday,15:00:00,16:00:00
