Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC022,,OUR LADY OF CHARTRES,Grade 1,1,155,Mathematics 1,Achapero Achapero,Room 170,Friday,13:00:00,14:00:00
SEC022,,OUR LADY OF CHARTRES,Grade 1,1,154,Language 1,Obedoza Obedoza,Room 160,Friday,14:00:00,15:00:00
SEC022,,OUR LADY OF CHARTRES,Grade 1,1,144,Reading and Literacy 1,Obedoza Obedoza,Room 125,Monday,11:00:00,12:00:00
SEC022,,OUR LADY OF CHARTRES,Grade 1,1,155,Mathematics 1,Achapero Achapero,Room 210,Saturday,14:00:00,15:00:00
SEC022,,OUR LADY OF CHARTRES,Grade 1,1,159,Paulinian Writing 1,Gutierrez Gutierrez,Room 190,Saturday,15:00:00,16:00:00
SEC022,,OUR LADY OF CHARTRES,Grade 1,1,154,Language 1,Obedoza Obedoza,Room 235,Thursday,11:00:00,12:00:00
SEC022,,OUR LADY OF CHARTRES,Grade 1,1,156,Christian Living Education 1,Achapero Achapero,Room 116,Thursday,13:00:00,14:00:00
SEC022,,OUR LADY OF CHARTRES,Grade 1,1,157,Makabansa 1,Gutierrez Gutierrez,Room 189,Tuesday,8:30:00,9:30:00
SEC022,,OUR LADY OF CHARTRES,Grade 1,1,154,Language 1,Obedoza Obedoza,Room 198,Tuesday,9:30:00,10:00:00
SEC022,,OUR LADY OF CHARTRES,Grade 1,1,158,Computer 1,Binaluyo Binaluyo,Room 212,Tuesday,10:30:00,11:00:00
SEC022,,OUR LADY OF CHARTRES,Grade 1,1,155,Mathematics 1,Achapero Achapero,Room 136,Tuesday,13:00:00,14:00:00
SEC022,,OUR LADY OF CHARTRES,Grade 1,1,155,Mathematics 1,Achapero Achapero,Room 112,Tuesday,15:00:00,16:00:00
SEC022,,OUR LADY OF CHARTRES,Grade 1,1,157,Makabansa 1,Gutierrez Gutierrez,Room 184,Wednesday,8:30:00,9:30:00
SEC022,,OUR LADY OF CHARTRES,Grade 1,1,156,Christian Living Education 1,Achapero Achapero,Room 151,Wednesday,9:30:00,10:30:00
SEC022,,OUR LADY OF CHARTRES,Grade 1,1,157,Makabansa 1,Gutierrez Gutierrez,Room 209,Wednesday,13:00:00,14:00:00
SEC022,,OUR LADY OF CHARTRES,Grade 1,1,156,Christian Living Education 1,Achapero Achapero,Room 221,Wednesday,14:00:00,15:00:00
