Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC023,,OUR LADY OF FATIMA,Grade 2,2,161,English 2,Carrasco Carrasco,Room 175,Friday,12:00:00,13:00:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,162,Mathematics 2,Carrasco Carrasco,Room 217,Friday,16:00:00,17:00:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,160,Filipino 2,Fernando Fernando,Room 225,Monday,7:30:00,8:30:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,161,English 2,Carrasco Carrasco,Room 199,Monday,9:30:00,10:00:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,165,MAPEH 2,Napili Napili,Room 169,Monday,12:00:00,13:00:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,162,Mathematics 2,Carrasco Carrasco,Room 116,Monday,13:00:00,14:00:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,160,Filipino 2,Fernando Fernando,Room 213,Monday,14:00:00,15:00:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,161,English 2,Carrasco Carrasco,Room 217,Monday,16:00:00,17:00:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,145,Reading and Literacy 2,Fernando Fernando,Room 112,Saturday,7:30:00,8:30:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,164,Christian Living Education 2,Napili Napili,Room 244,Saturday,11:00:00,12:00:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,166,Computer 2,Alvarez Alvarez,Room 179,Saturday,13:00:00,14:00:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,164,Christian Living Education 2,Napili Napili,Room 126,Saturday,14:00:00,15:00:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,165,MAPEH 2,Napili Napili,Room 243,Thursday,9:30:00,10:00:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,167,Paulinian Writing 2,Laque Laque,Room 138,Thursday,13:00:00,14:00:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,162,Mathematics 2,Carrasco Carrasco,Room 175,Thursday,15:00:00,16:00:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,163,Araling Panlipunan 2,Laque Laque,Room 222,Thursday,16:00:00,17:00:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,164,Christian Living Education 2,Napili Napili,Room 236,Tuesday,15:00:00,16:00:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,163,Araling Panlipunan 2,Laque Laque,Room 164,Tuesday,16:00:00,17:00:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,160,Filipino 2,Fernando Fernando,Room 236,Wednesday,10:30:00,11:00:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,162,Mathematics 2,Carrasco Carrasco,Room 127,Wednesday,11:00:00,12:00:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,163,Araling Panlipunan 2,Laque Laque,Room 241,Wednesday,13:00:00,14:00:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,165,MAPEH 2,Napili Napili,Room 203,Wednesday,16:00:00,17:00:00
