Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC024,,OUR LADY OF LOURDES,Grade 3,3,168,Filipino 3,Acebes Acebes,Room 104,Friday,14:00:00,15:00:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,174,MAPEH 3,Alde Alde,Room 154,Friday,14:00:00,15:00:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,176,Paulinian Writing 3,Botalon Botalon,Room 235,Monday,7:30:00,8:30:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,170,Mathematics 3,Orbita Orbita,Room 213,Monday,8:30:00,9:30:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,171,Science & Health 3,Odtohan Odtohan,Room 144,Monday,8:30:00,9:30:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,169,English 3,Orbita Orbita,Room 109,Monday,13:00:00,14:00:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,168,Filipino 3,Acebes Acebes,Room 225,Monday,15:00:00,16:00:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,173,Christian Living Education 3,Alde Alde,Room 185,Monday,15:00:00,16:00:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,175,Computer 3,Botalon Botalon,Room 101,Monday,16:00:00,17:00:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,172,Araling Panlipunan 3,Odtohan Odtohan,Room 140,Monday,16:00:00,17:00:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,173,Christian Living Education 3,Alde Alde,Room 104,Saturday,7:30:00,8:30:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,170,Mathematics 3,Orbita Orbita,Room 238,Saturday,8:30:00,9:30:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,171,Science & Health 3,Odtohan Odtohan,Room 186,Saturday,11:00:00,12:00:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,168,Filipino 3,Acebes Acebes,Room 129,Saturday,13:00:00,14:00:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,169,English 3,Orbita Orbita,Room 155,Saturday,14:00:00,15:00:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,172,Araling Panlipunan 3,Odtohan Odtohan,Room 220,Thursday,8:30:00,9:30:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,171,Science & Health 3,Odtohan Odtohan,Room 180,Thursday,9:30:00,10:00:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,174,MAPEH 3,Alde Alde,Room 113,Tuesday,15:00:00,16:00:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,172,Araling Panlipunan 3,Odtohan Odtohan,Room 116,Wednesday,7:30:00,8:30:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,146,Reading and Literacy 3,Acebes Acebes,Room 172,Wednesday,8:30:00,9:30:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,169,English 3,Orbita Orbita,Room 151,Wednesday,8:30:00,9:30:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,170,Mathematics 3,Orbita Orbita,Room 118,Wednesday,10:00:00,11:00:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,173,Christian Living Education 3,Alde Alde,Room 243,Wednesday,11:00:00,12:00:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,174,MAPEH 3,Alde Alde,Room 225,Wednesday,13:00:00,14:00:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,170,Mathematics 3,Orbita Orbita,Room 138,Wednesday,16:00:00,17:00:00
