Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC060,,ST. ANDREW,Grade 6,6,233,Robotics 6,Esquilona Esquilona,Room 203,Friday,8:30:00,9:30:00
SEC060,,ST. ANDREW,Grade 6,6,197,Mathematics 6,Gabiola Gabiola,Room 146,Friday,10:00:00,11:00:00
SEC060,,ST. ANDREW,Grade 6,6,201,Computer 6,Esquilona Esquilona,Room 150,Friday,10:30:00,11:00:00
SEC060,,ST. ANDREW,Grade 6,6,199,Christian Living Education 6,Orolaza Orolaza,Room 123,Friday,14:00:00,15:00:00
SEC060,,ST. ANDREW,Grade 6,6,199,Christian Living Education 6,Orolaza Orolaza,Room 102,Monday,8:30:00,9:30:00
SEC060,,ST. ANDREW,Grade 6,6,149,Reading and Literacy 6,Bacongallo Bacongallo,Room 219,Monday,10:30:00,11:00:00
SEC060,,ST. ANDREW,Grade 6,6,216,Araling Panlipunan 6,Baraquel Baraquel,Room 156,Monday,16:00:00,17:00:00
SEC060,,ST. ANDREW,Grade 6,6,216,Araling Panlipunan 6,Baraquel Baraquel,Room 172,Saturday,14:00:00,15:00:00
SEC060,,ST. ANDREW,Grade 6,6,196,English 6,Gabiola Gabiola,Room 194,Saturday,16:00:00,17:00:00
SEC060,,ST. ANDREW,Grade 6,6,197,Mathematics 6,Gabiola Gabiola,Room 203,Thursday,9:30:00,10:30:00
SEC060,,ST. ANDREW,Grade 6,6,195,Filipino 6,Bacongallo Bacongallo,Room 217,Thursday,13:00:00,14:00:00
SEC060,,ST. ANDREW,Grade 6,6,199,Christian Living Education 6,Orolaza Orolaza,Room 126,Thursday,13:00:00,14:00:00
SEC060,,ST. ANDREW,Grade 6,6,202,HELE 6,Esquilona Esquilona,Room 113,Thursday,14:00:00,15:00:00
SEC060,,ST. ANDREW,Grade 6,6,201,Computer 6,Esquilona Esquilona,Room 110,Thursday,16:00:00,17:00:00
SEC060,,ST. ANDREW,Grade 6,6,200,MAPEH 6,Orolaza Orolaza,Room 152,Thursday,16:00:00,17:00:00
SEC060,,ST. ANDREW,Grade 6,6,196,English 6,Gabiola Gabiola,Room 146,Tuesday,8:30:00,9:30:00
SEC060,,ST. ANDREW,Grade 6,6,198,Science & Health 6,Baraquel Baraquel,Room 106,Tuesday,11:00:00,12:00:00
SEC060,,ST. ANDREW,Grade 6,6,197,Mathematics 6,Gabiola Gabiola,Room 166,Tuesday,12:00:00,13:00:00
SEC060,,ST. ANDREW,Grade 6,6,198,Science & Health 6,Baraquel Baraquel,Room 161,Tuesday,13:00:00,14:00:00
SEC060,,ST. ANDREW,Grade 6,6,216,Araling Panlipunan 6,Baraquel Baraquel,Room 101,Tuesday,14:00:00,15:00:00
SEC060,,ST. ANDREW,Grade 6,6,196,English 6,Gabiola Gabiola,Room 103,Tuesday,14:00:00,15:00:00
SEC060,,ST. ANDREW,Grade 6,6,197,Mathematics 6,Gabiola Gabiola,Room 142,Tuesday,15:00:00,16:00:00
SEC060,,ST. ANDREW,Grade 6,6,200,MAPEH 6,Orolaza Orolaza,Room 227,Tuesday,15:00:00,16:00:00
SEC060,,ST. ANDREW,Grade 6,6,195,Filipino 6,Bacongallo Bacongallo,Room 231,Tuesday,16:00:00,17:00:00
SEC060,,ST. ANDREW,Grade 6,6,198,Science & Health 6,Baraquel Baraquel,Room 110,Tuesday,16:00:00,17:00:00
SEC060,,ST. ANDREW,Grade 6,6,195,Filipino 6,Bacongallo Bacongallo,Room 242,Wednesday,7:30:00,8:30:00
SEC060,,ST. ANDREW,Grade 6,6,200,MAPEH 6,Orolaza Orolaza,Room 111,Wednesday,7:30:00,8:30:00
SEC060,,ST. ANDREW,Grade 6,6,202,HELE 6,Esquilona Esquilona,Room 232,Wednesday,16:00:00,17:00:00
