Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC037,,ST. BLASÉ,Grade 6,6,199,Christian Living Education 6,Orolaza Orolaza,Room 225,Friday,8:30:00,9:30:00
SEC037,,ST. BLASÉ,Grade 6,6,200,MAPEH 6,Orolaza Orolaza,Room 151,Friday,10:00:00,11:00:00
SEC037,,ST. BLASÉ,Grade 6,6,198,Science & Health 6,Baraquel Baraquel,Room 172,Friday,11:00:00,12:00:00
SEC037,,ST. BLASÉ,Grade 6,6,197,Mathematics 6,Gabiola Gabiola,Room 205,Friday,12:00:00,13:00:00
SEC037,,ST. BLASÉ,Grade 6,6,195,Filipino 6,Bacongallo Bacongallo,Room 176,Friday,14:00:00,15:00:00
SEC037,,ST. BLASÉ,Grade 6,6,199,Christian Living Education 6,Orolaza Orolaza,Room 167,Monday,7:30:00,8:30:00
SEC037,,ST. BLASÉ,Grade 6,6,196,English 6,Gabiola Gabiola,Room 147,Monday,11:00:00,12:00:00
SEC037,,ST. BLASÉ,Grade 6,6,201,Computer 6,Esquilona Esquilona,Room 243,Monday,13:00:00,14:00:00
SEC037,,ST. BLASÉ,Grade 6,6,198,Science & Health 6,Baraquel Baraquel,Room 192,Monday,14:00:00,15:00:00
SEC037,,ST. BLASÉ,Grade 6,6,200,MAPEH 6,Orolaza Orolaza,Room 169,Monday,15:00:00,16:00:00
SEC037,,ST. BLASÉ,Grade 6,6,195,Filipino 6,Bacongallo Bacongallo,Room 219,Saturday,7:30:00,8:30:00
SEC037,,ST. BLASÉ,Grade 6,6,233,Robotics 6,Esquilona Esquilona,Room 247,Saturday,9:30:00,10:30:00
SEC037,,ST. BLASÉ,Grade 6,6,216,Araling Panlipunan 6,Baraquel Baraquel,Room 136,Saturday,14:00:00,15:00:00
SEC037,,ST. BLASÉ,Grade 6,6,216,Araling Panlipunan 6,Baraquel Baraquel,Room 250,Saturday,15:00:00,16:00:00
SEC037,,ST. BLASÉ,Grade 6,6,202,HELE 6,Esquilona Esquilona,Room 128,Thursday,7:30:00,8:30:00
SEC037,,ST. BLASÉ,Grade 6,6,202,HELE 6,Esquilona Esquilona,Room 202,Thursday,8:30:00,9:30:00
SEC037,,ST. BLASÉ,Grade 6,6,197,Mathematics 6,Gabiola Gabiola,Room 158,Thursday,10:30:00,11:00:00
SEC037,,ST. BLASÉ,Grade 6,6,198,Science & Health 6,Baraquel Baraquel,Room 214,Thursday,11:00:00,12:00:00
SEC037,,ST. BLASÉ,Grade 6,6,199,Christian Living Education 6,Orolaza Orolaza,Room 224,Thursday,15:00:00,16:00:00
SEC037,,ST. BLASÉ,Grade 6,6,216,Araling Panlipunan 6,Baraquel Baraquel,Room 245,Thursday,16:00:00,17:00:00
SEC037,,ST. BLASÉ,Grade 6,6,149,Reading and Literacy 6,Bacongallo Bacongallo,Room 227,Tuesday,8:30:00,9:30:00
SEC037,,ST. BLASÉ,Grade 6,6,197,Mathematics 6,Gabiola Gabiola,Room 242,Tuesday,11:00:00,12:00:00
SEC037,,ST. BLASÉ,Grade 6,6,197,Mathematics 6,Gabiola Gabiola,Room 182,Tuesday,12:00:00,13:00:00
SEC037,,ST. BLASÉ,Grade 6,6,201,Computer 6,Esquilona Esquilona,Room 118,Tuesday,14:00:00,15:00:00
SEC037,,ST. BLASÉ,Grade 6,6,196,English 6,Gabiola Gabiola,Room 108,Tuesday,15:00:00,16:00:00
SEC037,,ST. BLASÉ,Grade 6,6,200,MAPEH 6,Orolaza Orolaza,Room 209,Wednesday,9:30:00,10:00:00
SEC037,,ST. BLASÉ,Grade 6,6,196,English 6,Gabiola Gabiola,Room 235,Wednesday,11:00:00,12:00:00
SEC037,,ST. BLASÉ,Grade 6,6,195,Filipino 6,Bacongallo Bacongallo,Room 239,Wednesday,15:00:00,16:00:00
