Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC026,,ST. CHRISTOPHER,Grade 5,5,189,Science & Health 5,Delos Santos Delos Santos,Room 136,Friday,8:30:00,9:30:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,232,Robotics 5,Ramirez Ramirez,Room 194,Friday,14:00:00,15:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,188,Mathematics 5,Cadiente Cadiente,Room 172,Friday,14:00:00,15:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,186,Filipino 5,Maniba Maniba,Room 211,Monday,7:30:00,8:30:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,186,Filipino 5,Maniba Maniba,Room 110,Monday,8:30:00,9:30:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,190,Araling Panlipunan 5,Delos Santos Delos Santos,Room 144,Monday,9:30:00,10:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,186,Filipino 5,Maniba Maniba,Room 169,Monday,11:00:00,12:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,190,Araling Panlipunan 5,Delos Santos Delos Santos,Room 141,Monday,12:00:00,13:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,188,Mathematics 5,Cadiente Cadiente,Room 198,Monday,13:00:00,14:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,189,Science & Health 5,Delos Santos Delos Santos,Room 243,Saturday,9:30:00,10:30:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,188,Mathematics 5,Cadiente Cadiente,Room 236,Saturday,10:00:00,11:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,194,HELE 5,Ramirez Ramirez,Room 117,Saturday,11:00:00,12:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,191,Christian Living Education 5,Lati Lati,Room 236,Saturday,16:00:00,17:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,192,MAPEH 5,Lati Lati,Room 163,Thursday,8:30:00,9:30:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,192,MAPEH 5,Lati Lati,Room 170,Thursday,13:00:00,14:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,192,MAPEH 5,Lati Lati,Room 189,Thursday,14:00:00,15:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,188,Mathematics 5,Cadiente Cadiente,Room 238,Thursday,16:00:00,17:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,193,Computer 5,Ramirez Ramirez,Room 188,Tuesday,8:30:00,9:30:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,194,HELE 5,Ramirez Ramirez,Room 241,Tuesday,10:00:00,11:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,193,Computer 5,Ramirez Ramirez,Room 219,Tuesday,11:00:00,12:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,187,English 5,Cadiente Cadiente,Room 192,Tuesday,12:00:00,13:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,191,Christian Living Education 5,Lati Lati,Room 173,Tuesday,13:00:00,14:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,187,English 5,Cadiente Cadiente,Room 199,Tuesday,16:00:00,17:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,148,Reading and Literacy 5,Maniba Maniba,Room 209,Wednesday,7:30:00,8:30:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,187,English 5,Cadiente Cadiente,Room 224,Wednesday,9:30:00,10:30:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,189,Science & Health 5,Delos Santos Delos Santos,Room 156,Wednesday,9:30:00,10:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,190,Araling Panlipunan 5,Delos Santos Delos Santos,Room 161,Wednesday,10:00:00,11:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,191,Christian Living Education 5,Lati Lati,Room 214,Wednesday,16:00:00,17:00:00
