Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC041,,ST. CLARE,Grade 10,10,29,Araling Panlipunan 10,De Asis De Asis,Room 114,Friday,13:00:00,14:00:00
SEC041,,ST. CLARE,Grade 10,10,223,ICT 10,Layag Layag,Room 182,Friday,14:00:00,15:00:00
SEC041,,ST. CLARE,Grade 10,10,27,Mathematics 10,De Asis De Asis,Room 174,Friday,15:00:00,16:00:00
SEC041,,ST. CLARE,Grade 10,10,223,ICT 10,Layag Layag,Room 169,Monday,9:30:00,10:00:00
SEC041,,ST. CLARE,Grade 10,10,31,MAPEH 10,Barretto Barretto,Room 108,Monday,12:00:00,13:00:00
SEC041,,ST. CLARE,Grade 10,10,31,MAPEH 10,Alonzo Alonzo,Room 199,Monday,15:00:00,16:00:00
SEC041,,ST. CLARE,Grade 10,10,28,Science & Health 10,De Asis De Asis,Room 188,Monday,16:00:00,17:00:00
SEC041,,ST. CLARE,Grade 10,10,26,English 10,Abanto Abanto,Room 156,Saturday,8:30:00,9:30:00
SEC041,,ST. CLARE,Grade 10,10,28,Science & Health 10,De Asis De Asis,Room 108,Saturday,11:00:00,12:00:00
SEC041,,ST. CLARE,Grade 10,10,30,Christian Living Education 10,Baraquel Baraquel,Room 188,Saturday,14:00:00,15:00:00
SEC041,,ST. CLARE,Grade 10,10,25,Filipino 10,Abanto Abanto,Room 180,Saturday,15:00:00,16:00:00
SEC041,,ST. CLARE,Grade 10,10,28,Science & Health 10,De Asis De Asis,Room 157,Saturday,16:00:00,17:00:00
SEC041,,ST. CLARE,Grade 10,10,153,Reading and Literacy 10,Abanto Abanto,Room 136,Thursday,8:30:00,9:30:00
SEC041,,ST. CLARE,Grade 10,10,27,Mathematics 10,De Asis De Asis,Room 197,Thursday,13:00:00,14:00:00
SEC041,,ST. CLARE,Grade 10,10,29,Araling Panlipunan 10,De Asis De Asis,Room 195,Thursday,14:00:00,15:00:00
SEC041,,ST. CLARE,Grade 10,10,25,Filipino 10,Abanto Abanto,Room 216,Tuesday,7:30:00,8:30:00
SEC041,,ST. CLARE,Grade 10,10,27,Mathematics 10,De Asis De Asis,Room 237,Tuesday,9:30:00,10:00:00
SEC041,,ST. CLARE,Grade 10,10,26,English 10,Abanto Abanto,Room 245,Tuesday,11:00:00,12:00:00
SEC041,,ST. CLARE,Grade 10,10,221,Robotics 10,Ballesteros Ballesteros,Room 126,Tuesday,12:00:00,13:00:00
SEC041,,ST. CLARE,Grade 10,10,31,MAPEH 10,Alonzo Alonzo,Room 217,Tuesday,13:00:00,14:00:00
SEC041,,ST. CLARE,Grade 10,10,30,Christian Living Education 10,Alonzo Alonzo,Room 132,Tuesday,14:00:00,15:00:00
SEC041,,ST. CLARE,Grade 10,10,25,Filipino 10,Abanto Abanto,Room 233,Tuesday,16:00:00,17:00:00
SEC041,,ST. CLARE,Grade 10,10,30,Christian Living Education 10,Baraquel Baraquel,Room 135,Wednesday,8:30:00,9:30:00
SEC041,,ST. CLARE,Grade 10,10,26,English 10,Abanto Abanto,Room 208,Wednesday,9:30:00,10:00:00
SEC041,,ST. CLARE,Grade 10,10,29,Araling Panlipunan 10,De Asis De Asis,Room 176,Wednesday,11:00:00,12:00:00
SEC041,,ST. CLARE,Grade 10,10,32,TLE 10,Baraquel Baraquel,Room 202,Wednesday,12:00:00,13:00:00
SEC041,,ST. CLARE,Grade 10,10,32,TLE 10,Baraquel Baraquel,Room 248,Wednesday,14:00:00,15:00:00
