Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,17,Filipino 9,Morales Morales,Room 167,Friday,7:30:00,8:30:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,19,Mathematics 9,De Lara De Lara,Room 187,Friday,9:30:00,10:30:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,23,MAPEH 9,Dinapo Dinapo,Room 173,Friday,12:00:00,13:00:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,24,TLE 9,Dinapo Dinapo,Room 150,Friday,14:00:00,15:00:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,21,Araling Panlipunan 9,De Lara De Lara,Room 151,Friday,15:00:00,16:00:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,22,Christian Living Education 9,Gante Gante,Room 249,Friday,15:00:00,16:00:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,19,Mathematics 9,De Lara De Lara,Room 162,Monday,8:30:00,9:30:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,22,Christian Living Education 9,Gumabon Gumabon,Room 202,Monday,9:30:00,10:30:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,225,ICT 9,Layag Layag,Room 187,Monday,10:30:00,11:00:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,23,MAPEH 9,Gumabon Gumabon,Room 205,Monday,14:00:00,15:00:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,24,TLE 9,Dinapo Dinapo,Room 205,Monday,16:00:00,17:00:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,18,English 9,Morales Morales,Room 121,Saturday,7:30:00,8:30:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,23,MAPEH 9,Dinapo Dinapo,Room 175,Saturday,14:00:00,15:00:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,17,Filipino 9,Morales Morales,Room 234,Saturday,15:00:00,16:00:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,20,Science & Health 9,De Lara De Lara,Room 161,Saturday,15:00:00,16:00:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,220,Robotics 9,Ballesteros Ballesteros,Room 109,Saturday,16:00:00,17:00:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,225,ICT 9,Layag Layag,Room 193,Saturday,16:00:00,17:00:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,21,Araling Panlipunan 9,De Lara De Lara,Room 183,Saturday,16:00:00,17:00:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,20,Science & Health 9,De Lara De Lara,Room 215,Thursday,12:00:00,13:00:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,19,Mathematics 9,De Lara De Lara,Room 182,Thursday,14:00:00,15:00:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,17,Filipino 9,Morales Morales,Room 208,Thursday,16:00:00,17:00:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,20,Science & Health 9,De Lara De Lara,Room 250,Tuesday,7:30:00,8:30:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,22,Christian Living Education 9,Dinapo Dinapo,Room 112,Tuesday,16:00:00,17:00:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,18,English 9,Morales Morales,Room 150,Wednesday,7:30:00,8:30:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,18,English 9,Morales Morales,Room 234,Wednesday,9:30:00,10:00:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,152,Reading and Literacy 9,Morales Morales,Room 230,Wednesday,13:00:00,14:00:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,21,Araling Panlipunan 9,De Lara De Lara,Room 177,Wednesday,13:00:00,14:00:00
