Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC075,,ST. JEROME,Grade 8,8,11,Mathematics 8,Manago Manago,Room 211,Friday,10:00:00,11:00:00
SEC075,,ST. JEROME,Grade 8,8,14,Christian Living Education 8,Dela Cruz Dela Cruz,Room 136,Friday,10:00:00,11:00:00
SEC075,,ST. JEROME,Grade 8,8,219,Robotics 8,Ballesteros Ballesteros,Room 181,Friday,12:00:00,13:00:00
SEC075,,ST. JEROME,Grade 8,8,10,English 8,Valdez Valdez,Room 203,Friday,14:00:00,15:00:00
SEC075,,ST. JEROME,Grade 8,8,16,TLE 8,Cabasbas Cabasbas,Room 195,Monday,9:30:00,10:00:00
SEC075,,ST. JEROME,Grade 8,8,12,Science & Health 8,Manago Manago,Room 192,Monday,12:00:00,13:00:00
SEC075,,ST. JEROME,Grade 8,8,11,Mathematics 8,Manago Manago,Room 239,Saturday,8:30:00,9:30:00
SEC075,,ST. JEROME,Grade 8,8,13,Araling Panlipunan 8,Manago Manago,Room 162,Saturday,13:00:00,14:00:00
SEC075,,ST. JEROME,Grade 8,8,16,TLE 8,Dela Cruz Dela Cruz,Room 154,Saturday,14:00:00,15:00:00
SEC075,,ST. JEROME,Grade 8,8,11,Mathematics 8,Manago Manago,Room 223,Saturday,14:00:00,15:00:00
SEC075,,ST. JEROME,Grade 8,8,13,Araling Panlipunan 8,Manago Manago,Room 165,Thursday,7:30:00,8:30:00
SEC075,,ST. JEROME,Grade 8,8,10,English 8,Valdez Valdez,Room 180,Thursday,8:30:00,9:30:00
SEC075,,ST. JEROME,Grade 8,8,14,Christian Living Education 8,Dela Cruz Dela Cruz,Room 147,Thursday,8:30:00,9:30:00
SEC075,,ST. JEROME,Grade 8,8,10,English 8,Valdez Valdez,Room 130,Thursday,14:00:00,15:00:00
SEC075,,ST. JEROME,Grade 8,8,12,Science & Health 8,Manago Manago,Room 136,Thursday,14:00:00,15:00:00
SEC075,,ST. JEROME,Grade 8,8,9,Filipino 8,Valdez Valdez,Room 156,Thursday,16:00:00,17:00:00
SEC075,,ST. JEROME,Grade 8,8,226,ICT 8,Layag Layag,Room 169,Tuesday,7:30:00,8:30:00
SEC075,,ST. JEROME,Grade 8,8,9,Filipino 8,Valdez Valdez,Room 170,Tuesday,9:30:00,10:00:00
SEC075,,ST. JEROME,Grade 8,8,13,Araling Panlipunan 8,Manago Manago,Room 194,Tuesday,9:30:00,10:00:00
SEC075,,ST. JEROME,Grade 8,8,9,Filipino 8,Valdez Valdez,Room 134,Tuesday,10:30:00,11:00:00
SEC075,,ST. JEROME,Grade 8,8,15,MAPEH 8,Dela Cruz Dela Cruz,Room 205,Tuesday,11:00:00,12:00:00
SEC075,,ST. JEROME,Grade 8,8,226,ICT 8,Layag Layag,Room 104,Tuesday,15:00:00,16:00:00
SEC075,,ST. JEROME,Grade 8,8,12,Science & Health 8,Manago Manago,Room 241,Tuesday,16:00:00,17:00:00
SEC075,,ST. JEROME,Grade 8,8,15,MAPEH 8,Dela Cruz Dela Cruz,Room 122,Wednesday,9:30:00,10:30:00
SEC075,,ST. JEROME,Grade 8,8,15,MAPEH 8,Cabasbas Cabasbas,Room 127,Wednesday,9:30:00,10:00:00
SEC075,,ST. JEROME,Grade 8,8,14,Christian Living Education 8,Dela Cruz Dela Cruz,Room 219,Wednesday,12:00:00,13:00:00
SEC075,,ST. JEROME,Grade 8,8,151,Reading and Literacy 8,Valdez Valdez,Room 241,Wednesday,16:00:00,17:00:00
