Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC062,,ST. JOHN,Grade 8,8,16,TLE 8,Cabasbas Cabasbas,Room 104,Friday,10:00:00,11:00:00
SEC062,,ST. JOHN,Grade 8,8,14,Christian Living Education 8,Cabasbas Cabasbas,Room 124,Friday,11:00:00,12:00:00
SEC062,,ST. JOHN,Grade 8,8,12,Science & Health 8,Manago Manago,Room 182,Friday,12:00:00,13:00:00
SEC062,,ST. JOHN,Grade 8,8,9,Filipino 8,Valdez Valdez,Room 216,Friday,15:00:00,16:00:00
SEC062,,ST. JOHN,Grade 8,8,13,Araling Panlipunan 8,Manago Manago,Room 109,Monday,7:30:00,8:30:00
SEC062,,ST. JOHN,Grade 8,8,9,Filipino 8,Valdez Valdez,Room 106,Monday,8:30:00,9:30:00
SEC062,,ST. JOHN,Grade 8,8,14,Christian Living Education 8,Cabasbas Cabasbas,Room 225,Monday,10:00:00,11:00:00
SEC062,,ST. JOHN,Grade 8,8,11,Mathematics 8,Manago Manago,Room 212,Monday,12:00:00,13:00:00
SEC062,,ST. JOHN,Grade 8,8,13,Araling Panlipunan 8,Manago Manago,Room 195,Monday,16:00:00,17:00:00
SEC062,,ST. JOHN,Grade 8,8,13,Araling Panlipunan 8,Manago Manago,Room 231,Saturday,9:30:00,10:30:00
SEC062,,ST. JOHN,Grade 8,8,151,Reading and Literacy 8,Valdez Valdez,Room 118,Saturday,12:00:00,13:00:00
SEC062,,ST. JOHN,Grade 8,8,15,MAPEH 8,Cabasbas Cabasbas,Room 198,Saturday,13:00:00,14:00:00
SEC062,,ST. JOHN,Grade 8,8,14,Christian Living Education 8,Cabasbas Cabasbas,Room 154,Saturday,15:00:00,16:00:00
SEC062,,ST. JOHN,Grade 8,8,226,ICT 8,Layag Layag,Room 206,Thursday,7:30:00,8:30:00
SEC062,,ST. JOHN,Grade 8,8,15,MAPEH 8,Dela Cruz Dela Cruz,Room 219,Thursday,11:00:00,12:00:00
SEC062,,ST. JOHN,Grade 8,8,16,TLE 8,Cabasbas Cabasbas,Room 168,Thursday,14:00:00,15:00:00
SEC062,,ST. JOHN,Grade 8,8,15,MAPEH 8,Dela Cruz Dela Cruz,Room 194,Thursday,15:00:00,16:00:00
SEC062,,ST. JOHN,Grade 8,8,219,Robotics 8,Ballesteros Ballesteros,Room 208,Tuesday,10:30:00,11:00:00
SEC062,,ST. JOHN,Grade 8,8,226,ICT 8,Layag Layag,Room 221,Tuesday,12:00:00,13:00:00
SEC062,,ST. JOHN,Grade 8,8,9,Filipino 8,Valdez Valdez,Room 224,Tuesday,13:00:00,14:00:00
SEC062,,ST. JOHN,Grade 8,8,10,English 8,Valdez Valdez,Room 214,Tuesday,15:00:00,16:00:00
SEC062,,ST. JOHN,Grade 8,8,12,Science & Health 8,Manago Manago,Room 222,Wednesday,7:30:00,8:30:00
SEC062,,ST. JOHN,Grade 8,8,12,Science & Health 8,Manago Manago,Room 243,Wednesday,9:30:00,10:30:00
SEC062,,ST. JOHN,Grade 8,8,10,English 8,Valdez Valdez,Room 187,Wednesday,12:00:00,13:00:00
SEC062,,ST. JOHN,Grade 8,8,11,Mathematics 8,Manago Manago,Room 173,Wednesday,14:00:00,15:00:00
SEC062,,ST. JOHN,Grade 8,8,11,Mathematics 8,Manago Manago,Room 204,Wednesday,15:00:00,16:00:00
SEC062,,ST. JOHN,Grade 8,8,10,English 8,Valdez Valdez,Room 111,Wednesday,16:00:00,17:00:00
