Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC076,,ST. JOHN PAUL II,Grade 9,9,18,English 9,Morales Morales,Room 210,Friday,10:30:00,11:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,21,Araling Panlipunan 9,De Lara De Lara,Room 181,Friday,11:00:00,12:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,17,Filipino 9,Morales Morales,Room 195,Friday,12:00:00,13:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,19,Mathematics 9,De Lara De Lara,Room 136,Friday,12:00:00,13:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,22,Christian Living Education 9,Gante Gante,Room 238,Friday,16:00:00,17:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,17,Filipino 9,Morales Morales,Room 186,Monday,13:00:00,14:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,21,Araling Panlipunan 9,De Lara De Lara,Room 169,Monday,13:00:00,14:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,18,English 9,Morales Morales,Room 219,Monday,15:00:00,16:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,152,Reading and Literacy 9,Morales Morales,Room 211,Saturday,9:30:00,10:30:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,21,Araling Panlipunan 9,De Lara De Lara,Room 141,Saturday,10:00:00,11:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,220,Robotics 9,Ballesteros Ballesteros,Room 221,Saturday,11:00:00,12:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,20,Science & Health 9,De Lara De Lara,Room 145,Saturday,12:00:00,13:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,22,Christian Living Education 9,Gante Gante,Room 183,Saturday,13:00:00,14:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,23,MAPEH 9,Gante Gante,Room 152,Saturday,14:00:00,15:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,19,Mathematics 9,De Lara De Lara,Room 214,Thursday,11:00:00,12:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,17,Filipino 9,Morales Morales,Room 243,Thursday,14:00:00,15:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,24,TLE 9,Gante Gante,Room 194,Tuesday,11:00:00,12:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,225,ICT 9,Layag Layag,Room 198,Tuesday,11:00:00,12:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,19,Mathematics 9,De Lara De Lara,Room 217,Tuesday,11:00:00,12:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,23,MAPEH 9,Dinapo Dinapo,Room 235,Tuesday,11:00:00,12:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,24,TLE 9,Gumabon Gumabon,Room 143,Tuesday,12:00:00,13:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,225,ICT 9,Layag Layag,Room 226,Tuesday,13:00:00,14:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,18,English 9,Morales Morales,Room 163,Tuesday,15:00:00,16:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,23,MAPEH 9,Dinapo Dinapo,Room 192,Wednesday,7:30:00,8:30:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,20,Science & Health 9,De Lara De Lara,Room 139,Wednesday,8:30:00,9:30:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,20,Science & Health 9,De Lara De Lara,Room 147,Wednesday,11:00:00,12:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,22,Christian Living Education 9,Dinapo Dinapo,Room 176,Wednesday,14:00:00,15:00:00
