Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,181,Christian Living Education 4,Alejo Alejo,Room 189,Friday,12:00:00,13:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,181,Christian Living Education 4,Alejo Alejo,Room 180,Friday,14:00:00,15:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,178,English 4,Dela Cruz Dela Cruz,Room 115,Monday,7:30:00,8:30:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,178,English 4,Dela Cruz Dela Cruz,Room 191,Monday,8:30:00,9:30:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,177,Filipino 4,Berza Berza,Room 161,Monday,9:30:00,10:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,182,MAPEH 4,Alejo Alejo,Room 244,Monday,10:00:00,11:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,180,Science & Health 4,Rimarim Rimarim,Room 119,Monday,13:00:00,14:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,182,MAPEH 4,Alejo Alejo,Room 161,Monday,14:00:00,15:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,179,Mathematics 4,Dela Cruz Dela Cruz,Room 240,Monday,15:00:00,16:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,179,Mathematics 4,Dela Cruz Dela Cruz,Room 247,Monday,16:00:00,17:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,177,Filipino 4,Berza Berza,Room 247,Saturday,7:30:00,8:30:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,180,Science & Health 4,Rimarim Rimarim,Room 175,Saturday,9:30:00,10:30:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,147,Reading and Literacy 4,Berza Berza,Room 120,Saturday,10:30:00,11:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,183,Computer 4,Bitancor Bitancor,Room 219,Saturday,12:00:00,13:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,180,Science & Health 4,Rimarim Rimarim,Room 170,Saturday,13:00:00,14:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,185,Araling Panlipunan 4,Rimarim Rimarim,Room 215,Saturday,14:00:00,15:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,185,Araling Panlipunan 4,Rimarim Rimarim,Room 238,Saturday,15:00:00,16:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,184,HELE 4,Bitancor Bitancor,Room 192,Thursday,10:00:00,11:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,184,HELE 4,Bitancor Bitancor,Room 228,Thursday,11:00:00,12:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,185,Araling Panlipunan 4,Rimarim Rimarim,Room 227,Thursday,15:00:00,16:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,180,Science & Health 4,Rimarim Rimarim,Room 148,Thursday,16:00:00,17:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,177,Filipino 4,Berza Berza,Room 228,Tuesday,7:30:00,8:30:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,178,English 4,Dela Cruz Dela Cruz,Room 162,Tuesday,8:30:00,9:30:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,182,MAPEH 4,Alejo Alejo,Room 213,Tuesday,13:00:00,14:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,181,Christian Living Education 4,Alejo Alejo,Room 239,Tuesday,14:00:00,15:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,179,Mathematics 4,Dela Cruz Dela Cruz,Room 163,Wednesday,7:30:00,8:30:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,183,Computer 4,Bitancor Bitancor,Room 232,Wednesday,8:30:00,9:30:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,179,Mathematics 4,Dela Cruz Dela Cruz,Room 248,Wednesday,9:30:00,10:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,178,English 4,Dela Cruz Dela Cruz,Room 244,Wednesday,14:00:00,15:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,231,Robotics 4,Bitancor Bitancor,Room 182,Wednesday,15:00:00,16:00:00
