Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC029,,ST. JUSTIN,Grade 8,8,9,Filipino 8,Valdez Valdez,Room 155,Friday,8:30:00,9:30:00
SEC029,,ST. JUSTIN,Grade 8,8,10,English 8,Valdez Valdez,Room 141,Friday,12:00:00,13:00:00
SEC029,,ST. JUSTIN,Grade 8,8,16,TLE 8,Dela Cruz Dela Cruz,Room 105,Friday,15:00:00,16:00:00
SEC029,,ST. JUSTIN,Grade 8,8,9,Filipino 8,Valdez Valdez,Room 170,Monday,7:30:00,8:30:00
SEC029,,ST. JUSTIN,Grade 8,8,9,Filipino 8,Valdez Valdez,Room 163,Monday,8:30:00,9:30:00
SEC029,,ST. JUSTIN,Grade 8,8,11,Mathematics 8,Manago Manago,Room 150,Monday,8:30:00,9:30:00
SEC029,,ST. JUSTIN,Grade 8,8,15,MAPEH 8,Cabasbas Cabasbas,Room 227,Monday,10:00:00,11:00:00
SEC029,,ST. JUSTIN,Grade 8,8,12,Science & Health 8,Manago Manago,Room 175,Monday,13:00:00,14:00:00
SEC029,,ST. JUSTIN,Grade 8,8,11,Mathematics 8,Manago Manago,Room 145,Saturday,7:30:00,8:30:00
SEC029,,ST. JUSTIN,Grade 8,8,226,ICT 8,Layag Layag,Room 191,Saturday,9:30:00,10:30:00
SEC029,,ST. JUSTIN,Grade 8,8,14,Christian Living Education 8,Cabasbas Cabasbas,Room 126,Saturday,9:30:00,10:30:00
SEC029,,ST. JUSTIN,Grade 8,8,219,Robotics 8,Ballesteros Ballesteros,Room 212,Saturday,15:00:00,16:00:00
SEC029,,ST. JUSTIN,Grade 8,8,15,MAPEH 8,Cabasbas Cabasbas,Room 146,Saturday,15:00:00,16:00:00
SEC029,,ST. JUSTIN,Grade 8,8,12,Science & Health 8,Manago Manago,Room 152,Thursday,9:30:00,10:30:00
SEC029,,ST. JUSTIN,Grade 8,8,10,English 8,Valdez Valdez,Room 168,Tuesday,7:30:00,8:30:00
SEC029,,ST. JUSTIN,Grade 8,8,12,Science & Health 8,Manago Manago,Room 171,Tuesday,7:30:00,8:30:00
SEC029,,ST. JUSTIN,Grade 8,8,226,ICT 8,Layag Layag,Room 233,Tuesday,8:30:00,9:30:00
SEC029,,ST. JUSTIN,Grade 8,8,14,Christian Living Education 8,Dela Cruz Dela Cruz,Room 159,Tuesday,10:30:00,11:00:00
SEC029,,ST. JUSTIN,Grade 8,8,13,Araling Panlipunan 8,Manago Manago,Room 108,Tuesday,12:00:00,13:00:00
SEC029,,ST. JUSTIN,Grade 8,8,15,MAPEH 8,Cabasbas Cabasbas,Room 132,Tuesday,12:00:00,13:00:00
SEC029,,ST. JUSTIN,Grade 8,8,16,TLE 8,Dela Cruz Dela Cruz,Room 223,Wednesday,7:30:00,8:30:00
SEC029,,ST. JUSTIN,Grade 8,8,11,Mathematics 8,Manago Manago,Room 247,Wednesday,8:30:00,9:30:00
SEC029,,ST. JUSTIN,Grade 8,8,10,English 8,Valdez Valdez,Room 245,Wednesday,10:30:00,11:00:00
SEC029,,ST. JUSTIN,Grade 8,8,13,Araling Panlipunan 8,Manago Manago,Room 149,Wednesday,10:30:00,11:00:00
SEC029,,ST. JUSTIN,Grade 8,8,13,Araling Panlipunan 8,Manago Manago,Room 187,Wednesday,12:00:00,13:00:00
SEC029,,ST. JUSTIN,Grade 8,8,151,Reading and Literacy 8,Valdez Valdez,Room 181,Wednesday,14:00:00,15:00:00
SEC029,,ST. JUSTIN,Grade 8,8,14,Christian Living Education 8,Cabasbas Cabasbas,Room 191,Wednesday,16:00:00,17:00:00
