Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC031,,ST. LUKE,Grade 10,10,223,ICT 10,Layag Layag,Room 174,Friday,8:30:00,9:30:00
SEC031,,ST. LUKE,Grade 10,10,32,TLE 10,Baraquel Baraquel,Room 157,Friday,10:00:00,11:00:00
SEC031,,ST. LUKE,Grade 10,10,28,Science & Health 10,De Asis De Asis,Room 168,Friday,11:00:00,12:00:00
SEC031,,ST. LUKE,Grade 10,10,25,Filipino 10,Abanto Abanto,Room 238,Friday,14:00:00,15:00:00
SEC031,,ST. LUKE,Grade 10,10,31,MAPEH 10,Baraquel Baraquel,Room 233,Friday,16:00:00,17:00:00
SEC031,,ST. LUKE,Grade 10,10,30,Christian Living Education 10,Alonzo Alonzo,Room 235,Monday,13:00:00,14:00:00
SEC031,,ST. LUKE,Grade 10,10,30,Christian Living Education 10,Baraquel Baraquel,Room 168,Monday,16:00:00,17:00:00
SEC031,,ST. LUKE,Grade 10,10,26,English 10,Abanto Abanto,Room 204,Saturday,8:30:00,9:30:00
SEC031,,ST. LUKE,Grade 10,10,28,Science & Health 10,De Asis De Asis,Room 232,Saturday,11:00:00,12:00:00
SEC031,,ST. LUKE,Grade 10,10,27,Mathematics 10,De Asis De Asis,Room 247,Saturday,12:00:00,13:00:00
SEC031,,ST. LUKE,Grade 10,10,29,Araling Panlipunan 10,De Asis De Asis,Room 121,Saturday,13:00:00,14:00:00
SEC031,,ST. LUKE,Grade 10,10,26,English 10,Abanto Abanto,Room 209,Saturday,15:00:00,16:00:00
SEC031,,ST. LUKE,Grade 10,10,221,Robotics 10,Ballesteros Ballesteros,Room 223,Saturday,16:00:00,17:00:00
SEC031,,ST. LUKE,Grade 10,10,31,MAPEH 10,Barretto Barretto,Room 149,Thursday,11:00:00,12:00:00
SEC031,,ST. LUKE,Grade 10,10,29,Araling Panlipunan 10,De Asis De Asis,Room 172,Thursday,12:00:00,13:00:00
SEC031,,ST. LUKE,Grade 10,10,29,Araling Panlipunan 10,De Asis De Asis,Room 108,Thursday,13:00:00,14:00:00
SEC031,,ST. LUKE,Grade 10,10,30,Christian Living Education 10,Barretto Barretto,Room 246,Thursday,14:00:00,15:00:00
SEC031,,ST. LUKE,Grade 10,10,32,TLE 10,Alonzo Alonzo,Room 140,Thursday,15:00:00,16:00:00
SEC031,,ST. LUKE,Grade 10,10,223,ICT 10,Layag Layag,Room 121,Tuesday,8:30:00,9:30:00
SEC031,,ST. LUKE,Grade 10,10,25,Filipino 10,Abanto Abanto,Room 138,Tuesday,11:00:00,12:00:00
SEC031,,ST. LUKE,Grade 10,10,25,Filipino 10,Abanto Abanto,Room 243,Tuesday,12:00:00,13:00:00
SEC031,,ST. LUKE,Grade 10,10,153,Reading and Literacy 10,Abanto Abanto,Room 208,Tuesday,15:00:00,16:00:00
SEC031,,ST. LUKE,Grade 10,10,31,MAPEH 10,Baraquel Baraquel,Room 115,Wednesday,7:30:00,8:30:00
SEC031,,ST. LUKE,Grade 10,10,28,Science & Health 10,De Asis De Asis,Room 103,Wednesday,9:30:00,10:30:00
SEC031,,ST. LUKE,Grade 10,10,27,Mathematics 10,De Asis De Asis,Room 216,Wednesday,12:00:00,13:00:00
SEC031,,ST. LUKE,Grade 10,10,26,English 10,Abanto Abanto,Room 102,Wednesday,15:00:00,16:00:00
SEC031,,ST. LUKE,Grade 10,10,27,Mathematics 10,De Asis De Asis,Room 141,Wednesday,16:00:00,17:00:00
