Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC043,,ST. MARIA GORETTI,Grade 2,2,162,Mathematics 2,Carrasco Carrasco,Room 220,Friday,8:30:00,9:30:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,163,Araling Panlipunan 2,Laque Laque,Room 223,Friday,16:00:00,17:00:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,166,Computer 2,Alvarez Alvarez,Room 126,Monday,7:30:00,8:30:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,165,MAPEH 2,Napili Napili,Room 183,Monday,11:00:00,12:00:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,160,Filipino 2,Fernando Fernando,Room 140,Monday,13:00:00,14:00:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,164,Christian Living Education 2,Napili Napili,Room 111,Monday,16:00:00,17:00:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,165,MAPEH 2,Napili Napili,Room 119,Saturday,8:30:00,9:30:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,160,Filipino 2,Fernando Fernando,Room 242,Saturday,9:30:00,10:30:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,165,MAPEH 2,Napili Napili,Room 207,Saturday,9:30:00,10:00:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,161,English 2,Carrasco Carrasco,Room 227,Saturday,14:00:00,15:00:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,164,Christian Living Education 2,Napili Napili,Room 231,Thursday,10:00:00,11:00:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,162,Mathematics 2,Carrasco Carrasco,Room 154,Thursday,12:00:00,13:00:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,161,English 2,Carrasco Carrasco,Room 144,Thursday,13:00:00,14:00:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,163,Araling Panlipunan 2,Laque Laque,Room 196,Thursday,16:00:00,17:00:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,145,Reading and Literacy 2,Fernando Fernando,Room 140,Tuesday,7:30:00,8:30:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,161,English 2,Carrasco Carrasco,Room 119,Tuesday,9:30:00,10:00:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,163,Araling Panlipunan 2,Laque Laque,Room 105,Tuesday,9:30:00,10:00:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,162,Mathematics 2,Carrasco Carrasco,Room 230,Tuesday,10:30:00,11:00:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,162,Mathematics 2,Carrasco Carrasco,Room 150,Tuesday,12:00:00,13:00:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,164,Christian Living Education 2,Napili Napili,Room 103,Wednesday,7:30:00,8:30:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,167,Paulinian Writing 2,Laque Laque,Room 103,Wednesday,11:00:00,12:00:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,160,Filipino 2,Fernando Fernando,Room 233,Wednesday,14:00:00,15:00:00
