Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC059,,ST. MATTHEW,Grade 5,5,186,Filipino 5,Maniba Maniba,Room 222,Friday,11:00:00,12:00:00
SEC059,,ST. MATTHEW,Grade 5,5,187,English 5,Cadiente Cadiente,Room 111,Friday,12:00:00,13:00:00
SEC059,,ST. MATTHEW,Grade 5,5,186,Filipino 5,Maniba Maniba,Room 175,Friday,13:00:00,14:00:00
SEC059,,ST. MATTHEW,Grade 5,5,191,Christian Living Education 5,Lati Lati,Room 232,Friday,15:00:00,16:00:00
SEC059,,ST. MATTHEW,Grade 5,5,189,Science & Health 5,Delos Santos Delos Santos,Room 191,Monday,7:30:00,8:30:00
SEC059,,ST. MATTHEW,Grade 5,5,189,Science & Health 5,Delos Santos Delos Santos,Room 193,Monday,11:00:00,12:00:00
SEC059,,ST. MATTHEW,Grade 5,5,192,MAPEH 5,Lati Lati,Room 161,Monday,13:00:00,14:00:00
SEC059,,ST. MATTHEW,Grade 5,5,192,MAPEH 5,Lati Lati,Room 114,Monday,14:00:00,15:00:00
SEC059,,ST. MATTHEW,Grade 5,5,187,English 5,Cadiente Cadiente,Room 219,Monday,15:00:00,16:00:00
SEC059,,ST. MATTHEW,Grade 5,5,188,Mathematics 5,Cadiente Cadiente,Room 206,Monday,16:00:00,17:00:00
SEC059,,ST. MATTHEW,Grade 5,5,190,Araling Panlipunan 5,Delos Santos Delos Santos,Room 177,Saturday,7:30:00,8:30:00
SEC059,,ST. MATTHEW,Grade 5,5,188,Mathematics 5,Cadiente Cadiente,Room 192,Saturday,8:30:00,9:30:00
SEC059,,ST. MATTHEW,Grade 5,5,232,Robotics 5,Ramirez Ramirez,Room 214,Saturday,10:30:00,11:00:00
SEC059,,ST. MATTHEW,Grade 5,5,190,Araling Panlipunan 5,Delos Santos Delos Santos,Room 170,Saturday,11:00:00,12:00:00
SEC059,,ST. MATTHEW,Grade 5,5,194,HELE 5,Ramirez Ramirez,Room 118,Saturday,13:00:00,14:00:00
SEC059,,ST. MATTHEW,Grade 5,5,186,Filipino 5,Maniba Maniba,Room 229,Saturday,15:00:00,16:00:00
SEC059,,ST. MATTHEW,Grade 5,5,187,English 5,Cadiente Cadiente,Room 125,Thursday,8:30:00,9:30:00
SEC059,,ST. MATTHEW,Grade 5,5,191,Christian Living Education 5,Lati Lati,Room 164,Thursday,12:00:00,13:00:00
SEC059,,ST. MATTHEW,Grade 5,5,188,Mathematics 5,Cadiente Cadiente,Room 124,Thursday,14:00:00,15:00:00
SEC059,,ST. MATTHEW,Grade 5,5,188,Mathematics 5,Cadiente Cadiente,Room 113,Tuesday,9:30:00,10:00:00
SEC059,,ST. MATTHEW,Grade 5,5,194,HELE 5,Ramirez Ramirez,Room 162,Tuesday,12:00:00,13:00:00
SEC059,,ST. MATTHEW,Grade 5,5,192,MAPEH 5,Lati Lati,Room 170,Tuesday,13:00:00,14:00:00
SEC059,,ST. MATTHEW,Grade 5,5,191,Christian Living Education 5,Lati Lati,Room 128,Tuesday,14:00:00,15:00:00
SEC059,,ST. MATTHEW,Grade 5,5,190,Araling Panlipunan 5,Delos Santos Delos Santos,Room 133,Tuesday,15:00:00,16:00:00
SEC059,,ST. MATTHEW,Grade 5,5,193,Computer 5,Ramirez Ramirez,Room 224,Tuesday,16:00:00,17:00:00
SEC059,,ST. MATTHEW,Grade 5,5,189,Science & Health 5,Delos Santos Delos Santos,Room 161,Wednesday,7:30:00,8:30:00
SEC059,,ST. MATTHEW,Grade 5,5,148,Reading and Literacy 5,Maniba Maniba,Room 163,Wednesday,9:30:00,10:00:00
SEC059,,ST. MATTHEW,Grade 5,5,193,Computer 5,Ramirez Ramirez,Room 171,Wednesday,15:00:00,16:00:00
