Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC063,,ST. PAUL,Grade 9,9,22,Christian Living Education 9,Dinapo Dinapo,Room 227,Friday,10:00:00,11:00:00
SEC063,,ST. PAUL,Grade 9,9,22,Christian Living Education 9,Gumabon Gumabon,Room 242,Friday,11:00:00,12:00:00
SEC063,,ST. PAUL,Grade 9,9,17,Filipino 9,Morales Morales,Room 196,Friday,12:00:00,13:00:00
SEC063,,ST. PAUL,Grade 9,9,17,Filipino 9,Morales Morales,Room 204,Friday,14:00:00,15:00:00
SEC063,,ST. PAUL,Grade 9,9,152,Reading and Literacy 9,Morales Morales,Room 247,Friday,16:00:00,17:00:00
SEC063,,ST. PAUL,Grade 9,9,23,MAPEH 9,Gante Gante,Room 124,Monday,8:30:00,9:30:00
SEC063,,ST. PAUL,Grade 9,9,20,Science & Health 9,De Lara De Lara,Room 207,Monday,10:30:00,11:00:00
SEC063,,ST. PAUL,Grade 9,9,21,Araling Panlipunan 9,De Lara De Lara,Room 111,Monday,15:00:00,16:00:00
SEC063,,ST. PAUL,Grade 9,9,18,English 9,Morales Morales,Room 150,Monday,16:00:00,17:00:00
SEC063,,ST. PAUL,Grade 9,9,225,ICT 9,Layag Layag,Room 152,Saturday,10:30:00,11:00:00
SEC063,,ST. PAUL,Grade 9,9,220,Robotics 9,Ballesteros Ballesteros,Room 168,Saturday,11:00:00,12:00:00
SEC063,,ST. PAUL,Grade 9,9,19,Mathematics 9,De Lara De Lara,Room 194,Saturday,13:00:00,14:00:00
SEC063,,ST. PAUL,Grade 9,9,21,Araling Panlipunan 9,De Lara De Lara,Room 157,Saturday,15:00:00,16:00:00
SEC063,,ST. PAUL,Grade 9,9,20,Science & Health 9,De Lara De Lara,Room 158,Thursday,8:30:00,9:30:00
SEC063,,ST. PAUL,Grade 9,9,24,TLE 9,Gante Gante,Room 149,Thursday,9:30:00,10:00:00
SEC063,,ST. PAUL,Grade 9,9,21,Araling Panlipunan 9,De Lara De Lara,Room 233,Thursday,13:00:00,14:00:00
SEC063,,ST. PAUL,Grade 9,9,22,Christian Living Education 9,Gante Gante,Room 212,Thursday,15:00:00,16:00:00
SEC063,,ST. PAUL,Grade 9,9,18,English 9,Morales Morales,Room 140,Thursday,16:00:00,17:00:00
SEC063,,ST. PAUL,Grade 9,9,24,TLE 9,Gumabon Gumabon,Room 127,Tuesday,7:30:00,8:30:00
SEC063,,ST. PAUL,Grade 9,9,19,Mathematics 9,De Lara De Lara,Room 225,Tuesday,10:00:00,11:00:00
SEC063,,ST. PAUL,Grade 9,9,225,ICT 9,Layag Layag,Room 124,Tuesday,11:00:00,12:00:00
SEC063,,ST. PAUL,Grade 9,9,19,Mathematics 9,De Lara De Lara,Room 249,Tuesday,12:00:00,13:00:00
SEC063,,ST. PAUL,Grade 9,9,23,MAPEH 9,Gumabon Gumabon,Room 200,Tuesday,13:00:00,14:00:00
SEC063,,ST. PAUL,Grade 9,9,23,MAPEH 9,Gante Gante,Room 152,Tuesday,16:00:00,17:00:00
SEC063,,ST. PAUL,Grade 9,9,18,English 9,Morales Morales,Room 194,Wednesday,13:00:00,14:00:00
SEC063,,ST. PAUL,Grade 9,9,20,Science & Health 9,De Lara De Lara,Room 195,Wednesday,15:00:00,16:00:00
SEC063,,ST. PAUL,Grade 9,9,17,Filipino 9,Morales Morales,Room 105,Wednesday,16:00:00,17:00:00
