Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC024,,OUR LADY OF LOURDES,Grade 3,3,168,Filipino 3,Acebes Acebes,Room 181,Monday,15:00:00,16:00:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,168,Filipino 3,Acebes Acebes,Room 203,Saturday,14:00:00,15:00:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,146,Reading and Literacy 3,Acebes Acebes,Room 212,Wednesday,10:30:00,11:00:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,168,Filipino 3,Acebes Acebes,Room 215,Wednesday,15:00:00,16:00:00
SEC070,,ST. AUGUSTINE,Grade 3,3,168,Filipino 3,Acebes Acebes,Room 190,Monday,13:00:00,14:00:00
SEC070,,ST. AUGUSTINE,Grade 3,3,168,Filipino 3,Acebes Acebes,Room 196,Thursday,15:00:00,16:00:00
SEC070,,ST. AUGUSTINE,Grade 3,3,146,Reading and Literacy 3,Acebes Acebes,Room 162,Tuesday,9:30:00,10:00:00
SEC070,,ST. AUGUSTINE,Grade 3,3,168,Filipino 3,Acebes Acebes,Room 140,Wednesday,11:00:00,12:00:00
SEC034,,ST. MARTIN DE PORRES,Grade 3,3,146,Reading and Literacy 3,Acebes Acebes,Room 228,Monday,16:00:00,17:00:00
SEC034,,ST. MARTIN DE PORRES,Grade 3,3,168,Filipino 3,Acebes Acebes,Room 238,Saturday,16:00:00,17:00:00
SEC034,,ST. MARTIN DE PORRES,Grade 3,3,168,Filipino 3,Acebes Acebes,Room 206,Tuesday,12:00:00,13:00:00
SEC034,,ST. MARTIN DE PORRES,Grade 3,3,168,Filipino 3,Acebes Acebes,Room 122,Tuesday,15:00:00,16:00:00
SEC044,,ST. RITA OF CASCIA,Grade 3,3,168,Filipino 3,Acebes Acebes,Room 114,Friday,8:30:00,9:30:00
SEC044,,ST. RITA OF CASCIA,Grade 3,3,146,Reading and Literacy 3,Acebes Acebes,Room 204,Saturday,7:30:00,8:30:00
SEC044,,ST. RITA OF CASCIA,Grade 3,3,168,Filipino 3,Acebes Acebes,Room 238,Saturday,10:00:00,11:00:00
SEC044,,ST. RITA OF CASCIA,Grade 3,3,168,Filipino 3,Acebes Acebes,Room 123,Tuesday,14:00:00,15:00:00
SEC057,,ST. VINCENT FERRER,Grade 3,3,168,Filipino 3,Acebes Acebes,Room 245,Friday,13:00:00,14:00:00
SEC057,,ST. VINCENT FERRER,Grade 3,3,146,Reading and Literacy 3,Acebes Acebes,Room 137,Friday,14:00:00,15:00:00
SEC057,,ST. VINCENT FERRER,Grade 3,3,168,Filipino 3,Acebes Acebes,Room 175,Monday,12:00:00,13:00:00
SEC057,,ST. VINCENT FERRER,Grade 3,3,168,Filipino 3,Acebes Acebes,Room 125,Tuesday,13:00:00,14:00:00
