Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC022,,OUR LADY OF CHARTRES,Grade 1,1,155,Mathematics 1,Achapero Achapero,Room 220,Friday,12:00:00,13:00:00
SEC022,,OUR LADY OF CHARTRES,Grade 1,1,155,Mathematics 1,Achapero Achapero,Room 104,Monday,10:00:00,11:00:00
SEC022,,OUR LADY OF CHARTRES,Grade 1,1,156,Christian Living Education 1,Achapero Achapero,Room 210,Monday,15:00:00,16:00:00
SEC022,,OUR LADY OF CHARTRES,Grade 1,1,155,Mathematics 1,Achapero Achapero,Room 102,Thursday,8:30:00,9:30:00
SEC022,,OUR LADY OF CHARTRES,Grade 1,1,156,Christian Living Education 1,Achapero Achapero,Room 120,Thursday,9:30:00,10:00:00
SEC022,,OUR LADY OF CHARTRES,Grade 1,1,156,Christian Living Education 1,Achapero Achapero,Room 144,Tuesday,10:30:00,11:00:00
SEC022,,OUR LADY OF CHARTRES,Grade 1,1,155,Mathematics 1,Achapero Achapero,Room 219,Wednesday,15:00:00,16:00:00
SEC042,,ST. AGNES,Grade 1,1,155,Mathematics 1,Achapero Achapero,Room 196,Friday,15:00:00,16:00:00
SEC042,,ST. AGNES,Grade 1,1,155,Mathematics 1,Achapero Achapero,Room 245,Friday,16:00:00,17:00:00
SEC042,,ST. AGNES,Grade 1,1,155,Mathematics 1,Achapero Achapero,Room 113,Monday,13:00:00,14:00:00
SEC042,,ST. AGNES,Grade 1,1,155,Mathematics 1,Achapero Achapero,Room 173,Saturday,13:00:00,14:00:00
SEC042,,ST. AGNES,Grade 1,1,156,Christian Living Education 1,Achapero Achapero,Room 205,Thursday,15:00:00,16:00:00
SEC042,,ST. AGNES,Grade 1,1,156,Christian Living Education 1,Achapero Achapero,Room 172,Tuesday,11:00:00,12:00:00
SEC042,,ST. AGNES,Grade 1,1,156,Christian Living Education 1,Achapero Achapero,Room 123,Wednesday,11:00:00,12:00:00
SEC032,,ST. ANNE,Grade 1,1,155,Mathematics 1,Achapero Achapero,Room 215,Monday,7:30:00,8:30:00
SEC032,,ST. ANNE,Grade 1,1,155,Mathematics 1,Achapero Achapero,Room 206,Monday,11:00:00,12:00:00
SEC032,,ST. ANNE,Grade 1,1,156,Christian Living Education 1,Achapero Achapero,Room 138,Thursday,13:00:00,14:00:00
SEC032,,ST. ANNE,Grade 1,1,156,Christian Living Education 1,Achapero Achapero,Room 150,Thursday,14:00:00,15:00:00
SEC032,,ST. ANNE,Grade 1,1,155,Mathematics 1,Achapero Achapero,Room 178,Tuesday,8:30:00,9:30:00
SEC032,,ST. ANNE,Grade 1,1,155,Mathematics 1,Achapero Achapero,Room 207,Tuesday,14:00:00,15:00:00
SEC032,,ST. ANNE,Grade 1,1,156,Christian Living Education 1,Achapero Achapero,Room 247,Wednesday,9:30:00,10:00:00
SEC055,,ST. DOMINIC SAVIO,Grade 1,1,155,Mathematics 1,Achapero Achapero,Room 161,Monday,8:30:00,9:30:00
SEC055,,ST. DOMINIC SAVIO,Grade 1,1,155,Mathematics 1,Achapero Achapero,Room 167,Monday,16:00:00,17:00:00
SEC055,,ST. DOMINIC SAVIO,Grade 1,1,156,Christian Living Education 1,Achapero Achapero,Room 222,Saturday,8:30:00,9:30:00
SEC055,,ST. DOMINIC SAVIO,Grade 1,1,156,Christian Living Education 1,Achapero Achapero,Room 181,Thursday,10:30:00,11:00:00
SEC055,,ST. DOMINIC SAVIO,Grade 1,1,156,Christian Living Education 1,Achapero Achapero,Room 221,Tuesday,13:00:00,14:00:00
SEC055,,ST. DOMINIC SAVIO,Grade 1,1,155,Mathematics 1,Achapero Achapero,Room 131,Tuesday,16:00:00,17:00:00
SEC055,,ST. DOMINIC SAVIO,Grade 1,1,155,Mathematics 1,Achapero Achapero,Room 239,Wednesday,10:00:00,11:00:00
SEC068,,ST. PEDRO CALUNGSOD,Grade 1,1,156,Christian Living Education 1,Achapero Achapero,Room 146,Friday,14:00:00,15:00:00
SEC068,,ST. PEDRO CALUNGSOD,Grade 1,1,155,Mathematics 1,Achapero Achapero,Room 193,Saturday,11:00:00,12:00:00
SEC068,,ST. PEDRO CALUNGSOD,Grade 1,1,156,Christian Living Education 1,Achapero Achapero,Room 250,Saturday,14:00:00,15:00:00
SEC068,,ST. PEDRO CALUNGSOD,Grade 1,1,155,Mathematics 1,Achapero Achapero,Room 110,Saturday,15:00:00,16:00:00
SEC068,,ST. PEDRO CALUNGSOD,Grade 1,1,155,Mathematics 1,Achapero Achapero,Room 186,Thursday,11:00:00,12:00:00
SEC068,,ST. PEDRO CALUNGSOD,Grade 1,1,155,Mathematics 1,Achapero Achapero,Room 247,Wednesday,7:30:00,8:30:00
SEC068,,ST. PEDRO CALUNGSOD,Grade 1,1,156,Christian Living Education 1,Achapero Achapero,Room 199,Wednesday,13:00:00,14:00:00
