Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC024,,OUR LADY OF LOURDES,Grade 3,3,174,MAPEH 3,Alde Alde,Room 193,Monday,16:00:00,17:00:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,174,MAPEH 3,Alde Alde,Room 147,Saturday,9:30:00,10:30:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,174,MAPEH 3,Alde Alde,Room 189,Thursday,15:00:00,16:00:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,173,Christian Living Education 3,Alde Alde,Room 209,Tuesday,8:30:00,9:30:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,173,Christian Living Education 3,Alde Alde,Room 209,Wednesday,8:30:00,9:30:00
SEC024,,OUR LADY OF LOURDES,Grade 3,3,173,Christian Living Education 3,Alde Alde,Room 160,Wednesday,16:00:00,17:00:00
SEC070,,ST. AUGUSTINE,Grade 3,3,173,Christian Living Education 3,Alde Alde,Room 131,Friday,10:00:00,11:00:00
SEC070,,ST. AUGUSTINE,Grade 3,3,174,MAPEH 3,Alde Alde,Room 166,Friday,15:00:00,16:00:00
SEC070,,ST. AUGUSTINE,Grade 3,3,173,Christian Living Education 3,Alde Alde,Room 154,Saturday,14:00:00,15:00:00
SEC070,,ST. AUGUSTINE,Grade 3,3,174,MAPEH 3,Alde Alde,Room 245,Thursday,7:30:00,8:30:00
SEC070,,ST. AUGUSTINE,Grade 3,3,173,Christian Living Education 3,Alde Alde,Room 157,Thursday,16:00:00,17:00:00
SEC070,,ST. AUGUSTINE,Grade 3,3,174,MAPEH 3,Alde Alde,Room 217,Wednesday,14:00:00,15:00:00
SEC034,,ST. MARTIN DE PORRES,Grade 3,3,173,Christian Living Education 3,Alde Alde,Room 150,Friday,9:30:00,10:00:00
SEC034,,ST. MARTIN DE PORRES,Grade 3,3,173,Christian Living Education 3,Alde Alde,Room 201,Monday,8:30:00,9:30:00
SEC034,,ST. MARTIN DE PORRES,Grade 3,3,174,MAPEH 3,Alde Alde,Room 218,Monday,12:00:00,13:00:00
SEC034,,ST. MARTIN DE PORRES,Grade 3,3,174,MAPEH 3,Alde Alde,Room 136,Saturday,7:30:00,8:30:00
SEC034,,ST. MARTIN DE PORRES,Grade 3,3,173,Christian Living Education 3,Alde Alde,Room 230,Saturday,15:00:00,16:00:00
SEC034,,ST. MARTIN DE PORRES,Grade 3,3,174,MAPEH 3,Alde Alde,Room 199,Thursday,14:00:00,15:00:00
SEC044,,ST. RITA OF CASCIA,Grade 3,3,174,MAPEH 3,Alde Alde,Room 108,Friday,11:00:00,12:00:00
SEC044,,ST. RITA OF CASCIA,Grade 3,3,173,Christian Living Education 3,Alde Alde,Room 226,Friday,13:00:00,14:00:00
SEC044,,ST. RITA OF CASCIA,Grade 3,3,174,MAPEH 3,Alde Alde,Room 127,Monday,7:30:00,8:30:00
SEC044,,ST. RITA OF CASCIA,Grade 3,3,174,MAPEH 3,Alde Alde,Room 193,Saturday,16:00:00,17:00:00
SEC044,,ST. RITA OF CASCIA,Grade 3,3,173,Christian Living Education 3,Alde Alde,Room 122,Tuesday,7:30:00,8:30:00
SEC044,,ST. RITA OF CASCIA,Grade 3,3,173,Christian Living Education 3,Alde Alde,Room 115,Wednesday,12:00:00,13:00:00
SEC057,,ST. VINCENT FERRER,Grade 3,3,174,MAPEH 3,Alde Alde,Room 160,Monday,11:00:00,12:00:00
SEC057,,ST. VINCENT FERRER,Grade 3,3,174,MAPEH 3,Alde Alde,Room 227,Saturday,8:30:00,9:30:00
SEC057,,ST. VINCENT FERRER,Grade 3,3,174,MAPEH 3,Alde Alde,Room 223,Saturday,13:00:00,14:00:00
SEC057,,ST. VINCENT FERRER,Grade 3,3,173,Christian Living Education 3,Alde Alde,Room 208,Tuesday,12:00:00,13:00:00
SEC057,,ST. VINCENT FERRER,Grade 3,3,173,Christian Living Education 3,Alde Alde,Room 182,Wednesday,9:30:00,10:00:00
SEC057,,ST. VINCENT FERRER,Grade 3,3,173,Christian Living Education 3,Alde Alde,Room 109,Wednesday,11:00:00,12:00:00
