Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC025,,OUR LADY OF LA SALETTE,Grade 4,4,181,Christian Living Education 4,Alejo Alejo,Room 202,Monday,12:00:00,13:00:00
SEC025,,OUR LADY OF LA SALETTE,Grade 4,4,182,MAPEH 4,Alejo Alejo,Room 217,Saturday,13:00:00,14:00:00
SEC025,,OUR LADY OF LA SALETTE,Grade 4,4,181,Christian Living Education 4,Alejo Alejo,Room 187,Saturday,15:00:00,16:00:00
SEC025,,OUR LADY OF LA SALETTE,Grade 4,4,181,Christian Living Education 4,Alejo Alejo,Room 218,Tuesday,7:30:00,8:30:00
SEC025,,OUR LADY OF LA SALETTE,Grade 4,4,182,MAPEH 4,Alejo Alejo,Room 132,Tuesday,11:00:00,12:00:00
SEC025,,OUR LADY OF LA SALETTE,Grade 4,4,182,MAPEH 4,Alejo Alejo,Room 236,Wednesday,8:30:00,9:30:00
SEC071,,ST. AMBROSE,Grade 4,4,181,Christian Living Education 4,Alejo Alejo,Room 145,Monday,13:00:00,14:00:00
SEC071,,ST. AMBROSE,Grade 4,4,182,MAPEH 4,Alejo Alejo,Room 114,Saturday,11:00:00,12:00:00
SEC071,,ST. AMBROSE,Grade 4,4,181,Christian Living Education 4,Alejo Alejo,Room 227,Saturday,14:00:00,15:00:00
SEC071,,ST. AMBROSE,Grade 4,4,182,MAPEH 4,Alejo Alejo,Room 213,Thursday,8:30:00,9:30:00
SEC071,,ST. AMBROSE,Grade 4,4,181,Christian Living Education 4,Alejo Alejo,Room 240,Thursday,15:00:00,16:00:00
SEC071,,ST. AMBROSE,Grade 4,4,182,MAPEH 4,Alejo Alejo,Room 233,Wednesday,13:00:00,14:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,181,Christian Living Education 4,Alejo Alejo,Room 189,Friday,12:00:00,13:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,181,Christian Living Education 4,Alejo Alejo,Room 180,Friday,14:00:00,15:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,182,MAPEH 4,Alejo Alejo,Room 244,Monday,10:00:00,11:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,182,MAPEH 4,Alejo Alejo,Room 161,Monday,14:00:00,15:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,182,MAPEH 4,Alejo Alejo,Room 213,Tuesday,13:00:00,14:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,181,Christian Living Education 4,Alejo Alejo,Room 239,Tuesday,14:00:00,15:00:00
SEC045,,ST. ROSE OF LIMA,Grade 4,4,181,Christian Living Education 4,Alejo Alejo,Room 219,Friday,15:00:00,16:00:00
SEC045,,ST. ROSE OF LIMA,Grade 4,4,182,MAPEH 4,Alejo Alejo,Room 209,Monday,9:30:00,10:00:00
SEC045,,ST. ROSE OF LIMA,Grade 4,4,181,Christian Living Education 4,Alejo Alejo,Room 106,Thursday,10:30:00,11:00:00
SEC045,,ST. ROSE OF LIMA,Grade 4,4,181,Christian Living Education 4,Alejo Alejo,Room 148,Tuesday,16:00:00,17:00:00
SEC045,,ST. ROSE OF LIMA,Grade 4,4,182,MAPEH 4,Alejo Alejo,Room 126,Wednesday,9:30:00,10:00:00
SEC045,,ST. ROSE OF LIMA,Grade 4,4,182,MAPEH 4,Alejo Alejo,Room 168,Wednesday,14:00:00,15:00:00
SEC035,,ST. TERESA OF CALCUTTA,Grade 4,4,182,MAPEH 4,Alejo Alejo,Room 114,Friday,11:00:00,12:00:00
SEC035,,ST. TERESA OF CALCUTTA,Grade 4,4,181,Christian Living Education 4,Alejo Alejo,Room 214,Friday,13:00:00,14:00:00
SEC035,,ST. TERESA OF CALCUTTA,Grade 4,4,181,Christian Living Education 4,Alejo Alejo,Room 209,Thursday,7:30:00,8:30:00
SEC035,,ST. TERESA OF CALCUTTA,Grade 4,4,182,MAPEH 4,Alejo Alejo,Room 157,Thursday,16:00:00,17:00:00
SEC035,,ST. TERESA OF CALCUTTA,Grade 4,4,182,MAPEH 4,Alejo Alejo,Room 228,Tuesday,8:30:00,9:30:00
SEC035,,ST. TERESA OF CALCUTTA,Grade 4,4,181,Christian Living Education 4,Alejo Alejo,Room 236,Tuesday,9:30:00,10:30:00
