Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC051,,ANGEL OF PEACE,Grade 10,10,30,Christian Living Education 10,Alonzo Alonzo,Room 222,Friday,13:00:00,14:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,31,MAPEH 10,Alonzo Alonzo,Room 205,Saturday,14:00:00,15:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,31,MAPEH 10,Alonzo Alonzo,Room 212,Wednesday,7:30:00,8:30:00
SEC077,,ST. ALPHONSUS DE LIGUORI,Grade 10,10,31,MAPEH 10,Alonzo Alonzo,Room 158,Monday,11:00:00,12:00:00
SEC077,,ST. ALPHONSUS DE LIGUORI,Grade 10,10,32,TLE 10,Alonzo Alonzo,Room 124,Saturday,12:00:00,13:00:00
SEC077,,ST. ALPHONSUS DE LIGUORI,Grade 10,10,30,Christian Living Education 10,Alonzo Alonzo,Room 115,Saturday,15:00:00,16:00:00
SEC077,,ST. ALPHONSUS DE LIGUORI,Grade 10,10,30,Christian Living Education 10,Alonzo Alonzo,Room 158,Thursday,10:00:00,11:00:00
SEC077,,ST. ALPHONSUS DE LIGUORI,Grade 10,10,32,TLE 10,Alonzo Alonzo,Room 186,Wednesday,12:00:00,13:00:00
SEC041,,ST. CLARE,Grade 10,10,31,MAPEH 10,Alonzo Alonzo,Room 199,Monday,15:00:00,16:00:00
SEC041,,ST. CLARE,Grade 10,10,31,MAPEH 10,Alonzo Alonzo,Room 217,Tuesday,13:00:00,14:00:00
SEC041,,ST. CLARE,Grade 10,10,30,Christian Living Education 10,Alonzo Alonzo,Room 132,Tuesday,14:00:00,15:00:00
SEC031,,ST. LUKE,Grade 10,10,32,TLE 10,Alonzo Alonzo,Room 191,Monday,8:30:00,9:30:00
SEC031,,ST. LUKE,Grade 10,10,30,Christian Living Education 10,Alonzo Alonzo,Room 214,Monday,13:00:00,14:00:00
SEC031,,ST. LUKE,Grade 10,10,31,MAPEH 10,Alonzo Alonzo,Room 136,Monday,14:00:00,15:00:00
SEC031,,ST. LUKE,Grade 10,10,30,Christian Living Education 10,Alonzo Alonzo,Room 184,Tuesday,16:00:00,17:00:00
SEC064,,ST. PETER,Grade 10,10,30,Christian Living Education 10,Alonzo Alonzo,Room 138,Friday,10:30:00,11:00:00
SEC064,,ST. PETER,Grade 10,10,32,TLE 10,Alonzo Alonzo,Room 113,Saturday,9:30:00,10:30:00
SEC064,,ST. PETER,Grade 10,10,30,Christian Living Education 10,Alonzo Alonzo,Room 124,Tuesday,10:00:00,11:00:00
SEC064,,ST. PETER,Grade 10,10,31,MAPEH 10,Alonzo Alonzo,Room 143,Tuesday,12:00:00,13:00:00
