Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC051,,ANGEL OF PEACE,Grade 10,10,32,TLE 10,Barretto Barretto,Room 223,Friday,8:30:00,9:30:00
SEC051,,ANGEL OF PEACE,Grade 10,10,30,Christian Living Education 10,Barretto Barretto,Room 202,Monday,8:30:00,9:30:00
SEC051,,ANGEL OF PEACE,Grade 10,10,31,MAPEH 10,Barretto Barretto,Room 141,Thursday,13:00:00,14:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,32,TLE 10,Barretto Barretto,Room 170,Wednesday,11:00:00,12:00:00
SEC077,,ST. ALPHONSUS DE LIGUORI,Grade 10,10,31,MAPEH 10,Barretto Barretto,Room 150,Saturday,14:00:00,15:00:00
SEC077,,ST. ALPHONSUS DE LIGUORI,Grade 10,10,30,Christian Living Education 10,Barretto Barretto,Room 229,Wednesday,10:30:00,11:00:00
SEC041,,ST. CLARE,Grade 10,10,31,MAPEH 10,Barretto Barretto,Room 108,Monday,12:00:00,13:00:00
SEC031,,ST. LUKE,Grade 10,10,30,Christian Living Education 10,Barretto Barretto,Room 166,Saturday,12:00:00,13:00:00
SEC064,,ST. PETER,Grade 10,10,31,MAPEH 10,Barretto Barretto,Room 142,Friday,11:00:00,12:00:00
SEC064,,ST. PETER,Grade 10,10,30,Christian Living Education 10,Barretto Barretto,Room 114,Saturday,7:30:00,8:30:00
SEC064,,ST. PETER,Grade 10,10,32,TLE 10,Barretto Barretto,Room 132,Saturday,16:00:00,17:00:00
SEC064,,ST. PETER,Grade 10,10,31,MAPEH 10,Barretto Barretto,Room 176,Tuesday,7:30:00,8:30:00
