Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC048,,CHERUBIM,Grade 7,7,2,English 7,Cabrera Cabrera,Room 243,Friday,8:30:00,9:30:00
SEC048,,CHERUBIM,Grade 7,7,2,English 7,Cabrera Cabrera,Room 162,Friday,10:00:00,11:00:00
SEC048,,CHERUBIM,Grade 7,7,1,Filipino 7,Cabrera Cabrera,Room 156,Friday,11:00:00,12:00:00
SEC048,,CHERUBIM,Grade 7,7,150,Reading and Literacy 7,Cabrera Cabrera,Room 126,Saturday,9:30:00,10:00:00
SEC048,,CHERUBIM,Grade 7,7,1,Filipino 7,Cabrera Cabrera,Room 184,Thursday,13:00:00,14:00:00
SEC048,,CHERUBIM,Grade 7,7,2,English 7,Cabrera Cabrera,Room 130,Thursday,14:00:00,15:00:00
SEC048,,CHERUBIM,Grade 7,7,1,Filipino 7,Cabrera Cabrera,Room 132,Tuesday,8:30:00,9:30:00
SEC048,,CHERUBIM,Grade 7,7,2,English 7,Cabrera Cabrera,Room 233,Wednesday,9:30:00,10:30:00
SEC028,,ST. ANTHONY OF PADUA,Grade 7,7,1,Filipino 7,Cabrera Cabrera,Room 158,Friday,16:00:00,17:00:00
SEC028,,ST. ANTHONY OF PADUA,Grade 7,7,1,Filipino 7,Cabrera Cabrera,Room 230,Monday,10:30:00,11:00:00
SEC028,,ST. ANTHONY OF PADUA,Grade 7,7,2,English 7,Cabrera Cabrera,Room 249,Monday,16:00:00,17:00:00
SEC028,,ST. ANTHONY OF PADUA,Grade 7,7,2,English 7,Cabrera Cabrera,Room 106,Saturday,8:30:00,9:30:00
SEC028,,ST. ANTHONY OF PADUA,Grade 7,7,150,Reading and Literacy 7,Cabrera Cabrera,Room 229,Saturday,16:00:00,17:00:00
SEC028,,ST. ANTHONY OF PADUA,Grade 7,7,1,Filipino 7,Cabrera Cabrera,Room 110,Thursday,12:00:00,13:00:00
SEC028,,ST. ANTHONY OF PADUA,Grade 7,7,2,English 7,Cabrera Cabrera,Room 202,Tuesday,13:00:00,14:00:00
SEC028,,ST. ANTHONY OF PADUA,Grade 7,7,2,English 7,Cabrera Cabrera,Room 152,Tuesday,14:00:00,15:00:00
SEC074,,ST. CATHERINE OF SIENA,Grade 7,7,2,English 7,Cabrera Cabrera,Room 172,Friday,14:00:00,15:00:00
SEC074,,ST. CATHERINE OF SIENA,Grade 7,7,1,Filipino 7,Cabrera Cabrera,Room 150,Saturday,13:00:00,14:00:00
SEC074,,ST. CATHERINE OF SIENA,Grade 7,7,150,Reading and Literacy 7,Cabrera Cabrera,Room 195,Saturday,15:00:00,16:00:00
SEC074,,ST. CATHERINE OF SIENA,Grade 7,7,1,Filipino 7,Cabrera Cabrera,Room 181,Thursday,7:30:00,8:30:00
SEC074,,ST. CATHERINE OF SIENA,Grade 7,7,1,Filipino 7,Cabrera Cabrera,Room 212,Thursday,8:30:00,9:30:00
SEC074,,ST. CATHERINE OF SIENA,Grade 7,7,2,English 7,Cabrera Cabrera,Room 138,Thursday,9:30:00,10:00:00
SEC074,,ST. CATHERINE OF SIENA,Grade 7,7,2,English 7,Cabrera Cabrera,Room 104,Tuesday,11:00:00,12:00:00
SEC074,,ST. CATHERINE OF SIENA,Grade 7,7,2,English 7,Cabrera Cabrera,Room 128,Wednesday,14:00:00,15:00:00
SEC061,,ST. JAMES,Grade 7,7,2,English 7,Cabrera Cabrera,Room 226,Monday,11:00:00,12:00:00
SEC061,,ST. JAMES,Grade 7,7,2,English 7,Cabrera Cabrera,Room 197,Saturday,14:00:00,15:00:00
SEC061,,ST. JAMES,Grade 7,7,1,Filipino 7,Cabrera Cabrera,Room 245,Tuesday,7:30:00,8:30:00
SEC061,,ST. JAMES,Grade 7,7,2,English 7,Cabrera Cabrera,Room 127,Tuesday,9:30:00,10:00:00
SEC061,,ST. JAMES,Grade 7,7,150,Reading and Literacy 7,Cabrera Cabrera,Room 174,Tuesday,15:00:00,16:00:00
SEC061,,ST. JAMES,Grade 7,7,2,English 7,Cabrera Cabrera,Room 170,Wednesday,13:00:00,14:00:00
SEC061,,ST. JAMES,Grade 7,7,1,Filipino 7,Cabrera Cabrera,Room 115,Wednesday,15:00:00,16:00:00
SEC061,,ST. JAMES,Grade 7,7,1,Filipino 7,Cabrera Cabrera,Room 112,Wednesday,16:00:00,17:00:00
SEC038,,ST. LAWRENCE,Grade 7,7,1,Filipino 7,Cabrera Cabrera,Room 179,Friday,15:00:00,16:00:00
SEC038,,ST. LAWRENCE,Grade 7,7,1,Filipino 7,Cabrera Cabrera,Room 147,Monday,7:30:00,8:30:00
SEC038,,ST. LAWRENCE,Grade 7,7,2,English 7,Cabrera Cabrera,Room 147,Monday,12:00:00,13:00:00
SEC038,,ST. LAWRENCE,Grade 7,7,1,Filipino 7,Cabrera Cabrera,Room 247,Saturday,10:00:00,11:00:00
SEC038,,ST. LAWRENCE,Grade 7,7,2,English 7,Cabrera Cabrera,Room 209,Saturday,12:00:00,13:00:00
SEC038,,ST. LAWRENCE,Grade 7,7,2,English 7,Cabrera Cabrera,Room 210,Thursday,15:00:00,16:00:00
SEC038,,ST. LAWRENCE,Grade 7,7,150,Reading and Literacy 7,Cabrera Cabrera,Room 194,Thursday,16:00:00,17:00:00
SEC038,,ST. LAWRENCE,Grade 7,7,2,English 7,Cabrera Cabrera,Room 174,Wednesday,8:30:00,9:30:00
