Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC048,,CHERUBIM,Grade 7,7,3,Mathematics 7,Canadilla Canadilla,Room 101,Friday,10:00:00,11:00:00
SEC048,,CHERUBIM,Grade 7,7,4,Science & Health 7,Canadilla Canadilla,Room 161,Friday,14:00:00,15:00:00
SEC048,,CHERUBIM,Grade 7,7,3,Mathematics 7,Canadilla Canadilla,Room 172,Friday,15:00:00,16:00:00
SEC048,,CHERUBIM,Grade 7,7,5,Araling Panlipunan 7,Canadilla Canadilla,Room 127,Monday,9:30:00,10:30:00
SEC048,,CHERUBIM,Grade 7,7,3,Mathematics 7,Canadilla Canadilla,Room 162,Monday,14:00:00,15:00:00
SEC048,,CHERUBIM,Grade 7,7,4,Science & Health 7,Canadilla Canadilla,Room 127,Thursday,9:30:00,10:00:00
SEC048,,CHERUBIM,Grade 7,7,5,Araling Panlipunan 7,Canadilla Canadilla,Room 135,Thursday,10:30:00,11:00:00
SEC048,,CHERUBIM,Grade 7,7,5,Araling Panlipunan 7,Canadilla Canadilla,Room 210,Thursday,14:00:00,15:00:00
SEC048,,CHERUBIM,Grade 7,7,4,Science & Health 7,Canadilla Canadilla,Room 242,Tuesday,7:30:00,8:30:00
SEC048,,CHERUBIM,Grade 7,7,4,Science & Health 7,Canadilla Canadilla,Room 190,Wednesday,10:30:00,11:00:00
SEC048,,CHERUBIM,Grade 7,7,3,Mathematics 7,Canadilla Canadilla,Room 206,Wednesday,13:00:00,14:00:00
SEC028,,ST. ANTHONY OF PADUA,Grade 7,7,5,Araling Panlipunan 7,Canadilla Canadilla,Room 221,Friday,8:30:00,9:30:00
SEC028,,ST. ANTHONY OF PADUA,Grade 7,7,3,Mathematics 7,Canadilla Canadilla,Room 121,Friday,13:00:00,14:00:00
SEC028,,ST. ANTHONY OF PADUA,Grade 7,7,3,Mathematics 7,Canadilla Canadilla,Room 137,Monday,10:30:00,11:00:00
SEC028,,ST. ANTHONY OF PADUA,Grade 7,7,5,Araling Panlipunan 7,Canadilla Canadilla,Room 245,Monday,11:00:00,12:00:00
SEC028,,ST. ANTHONY OF PADUA,Grade 7,7,3,Mathematics 7,Canadilla Canadilla,Room 219,Monday,13:00:00,14:00:00
SEC028,,ST. ANTHONY OF PADUA,Grade 7,7,4,Science & Health 7,Canadilla Canadilla,Room 189,Monday,15:00:00,16:00:00
SEC028,,ST. ANTHONY OF PADUA,Grade 7,7,3,Mathematics 7,Canadilla Canadilla,Room 214,Saturday,12:00:00,13:00:00
SEC028,,ST. ANTHONY OF PADUA,Grade 7,7,4,Science & Health 7,Canadilla Canadilla,Room 128,Saturday,14:00:00,15:00:00
SEC028,,ST. ANTHONY OF PADUA,Grade 7,7,4,Science & Health 7,Canadilla Canadilla,Room 199,Tuesday,9:30:00,10:30:00
SEC028,,ST. ANTHONY OF PADUA,Grade 7,7,5,Araling Panlipunan 7,Canadilla Canadilla,Room 113,Wednesday,12:00:00,13:00:00
SEC028,,ST. ANTHONY OF PADUA,Grade 7,7,4,Science & Health 7,Canadilla Canadilla,Room 219,Wednesday,16:00:00,17:00:00
SEC074,,ST. CATHERINE OF SIENA,Grade 7,7,3,Mathematics 7,Canadilla Canadilla,Room 224,Friday,11:00:00,12:00:00
SEC074,,ST. CATHERINE OF SIENA,Grade 7,7,5,Araling Panlipunan 7,Canadilla Canadilla,Room 211,Friday,16:00:00,17:00:00
SEC074,,ST. CATHERINE OF SIENA,Grade 7,7,4,Science & Health 7,Canadilla Canadilla,Room 115,Monday,7:30:00,8:30:00
SEC074,,ST. CATHERINE OF SIENA,Grade 7,7,5,Araling Panlipunan 7,Canadilla Canadilla,Room 184,Monday,8:30:00,9:30:00
SEC074,,ST. CATHERINE OF SIENA,Grade 7,7,5,Araling Panlipunan 7,Canadilla Canadilla,Room 151,Monday,12:00:00,13:00:00
SEC074,,ST. CATHERINE OF SIENA,Grade 7,7,3,Mathematics 7,Canadilla Canadilla,Room 160,Saturday,15:00:00,16:00:00
SEC074,,ST. CATHERINE OF SIENA,Grade 7,7,4,Science & Health 7,Canadilla Canadilla,Room 224,Thursday,13:00:00,14:00:00
SEC074,,ST. CATHERINE OF SIENA,Grade 7,7,3,Mathematics 7,Canadilla Canadilla,Room 242,Thursday,16:00:00,17:00:00
SEC074,,ST. CATHERINE OF SIENA,Grade 7,7,3,Mathematics 7,Canadilla Canadilla,Room 149,Tuesday,10:30:00,11:00:00
SEC074,,ST. CATHERINE OF SIENA,Grade 7,7,4,Science & Health 7,Canadilla Canadilla,Room 187,Tuesday,16:00:00,17:00:00
SEC074,,ST. CATHERINE OF SIENA,Grade 7,7,4,Science & Health 7,Canadilla Canadilla,Room 182,Wednesday,7:30:00,8:30:00
SEC061,,ST. JAMES,Grade 7,7,3,Mathematics 7,Canadilla Canadilla,Room 153,Friday,7:30:00,8:30:00
SEC061,,ST. JAMES,Grade 7,7,4,Science & Health 7,Canadilla Canadilla,Room 115,Friday,12:00:00,13:00:00
