Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC023,,OUR LADY OF FATIMA,Grade 2,2,161,English 2,Carrasco Carrasco,Room 160,Monday,10:30:00,11:00:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,162,Mathematics 2,Carrasco Carrasco,Room 201,Monday,14:00:00,15:00:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,162,Mathematics 2,Carrasco Carrasco,Room 142,Saturday,7:30:00,8:30:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,161,English 2,Carrasco Carrasco,Room 122,Saturday,13:00:00,14:00:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,162,Mathematics 2,Carrasco Carrasco,Room 183,Tuesday,11:00:00,12:00:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,161,English 2,Carrasco Carrasco,Room 103,Wednesday,9:30:00,10:00:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,162,Mathematics 2,Carrasco Carrasco,Room 103,Wednesday,14:00:00,15:00:00
SEC033,,ST. CAMILLUS DE LELLIS,Grade 2,2,162,Mathematics 2,Carrasco Carrasco,Room 223,Friday,11:00:00,12:00:00
SEC033,,ST. CAMILLUS DE LELLIS,Grade 2,2,162,Mathematics 2,Carrasco Carrasco,Room 190,Monday,13:00:00,14:00:00
SEC033,,ST. CAMILLUS DE LELLIS,Grade 2,2,161,English 2,Carrasco Carrasco,Room 156,Monday,15:00:00,16:00:00
SEC033,,ST. CAMILLUS DE LELLIS,Grade 2,2,162,Mathematics 2,Carrasco Carrasco,Room 210,Saturday,16:00:00,17:00:00
SEC033,,ST. CAMILLUS DE LELLIS,Grade 2,2,161,English 2,Carrasco Carrasco,Room 247,Thursday,7:30:00,8:30:00
SEC033,,ST. CAMILLUS DE LELLIS,Grade 2,2,162,Mathematics 2,Carrasco Carrasco,Room 101,Thursday,8:30:00,9:30:00
SEC033,,ST. CAMILLUS DE LELLIS,Grade 2,2,161,English 2,Carrasco Carrasco,Room 243,Thursday,15:00:00,16:00:00
SEC056,,ST. JOHN BOSCO,Grade 2,2,162,Mathematics 2,Carrasco Carrasco,Room 136,Friday,16:00:00,17:00:00
SEC056,,ST. JOHN BOSCO,Grade 2,2,161,English 2,Carrasco Carrasco,Room 106,Monday,16:00:00,17:00:00
SEC056,,ST. JOHN BOSCO,Grade 2,2,162,Mathematics 2,Carrasco Carrasco,Room 137,Saturday,9:30:00,10:30:00
SEC056,,ST. JOHN BOSCO,Grade 2,2,162,Mathematics 2,Carrasco Carrasco,Room 224,Tuesday,8:30:00,9:30:00
SEC056,,ST. JOHN BOSCO,Grade 2,2,162,Mathematics 2,Carrasco Carrasco,Room 171,Wednesday,8:30:00,9:30:00
SEC056,,ST. JOHN BOSCO,Grade 2,2,161,English 2,Carrasco Carrasco,Room 140,Wednesday,12:00:00,13:00:00
SEC056,,ST. JOHN BOSCO,Grade 2,2,161,English 2,Carrasco Carrasco,Room 231,Wednesday,15:00:00,16:00:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,162,Mathematics 2,Carrasco Carrasco,Room 220,Friday,8:30:00,9:30:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,161,English 2,Carrasco Carrasco,Room 227,Saturday,14:00:00,15:00:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,162,Mathematics 2,Carrasco Carrasco,Room 154,Thursday,12:00:00,13:00:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,161,English 2,Carrasco Carrasco,Room 144,Thursday,13:00:00,14:00:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,161,English 2,Carrasco Carrasco,Room 119,Tuesday,9:30:00,10:00:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,162,Mathematics 2,Carrasco Carrasco,Room 230,Tuesday,10:30:00,11:00:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,162,Mathematics 2,Carrasco Carrasco,Room 150,Tuesday,12:00:00,13:00:00
SEC069,,ST. SEBASTIAN,Grade 2,2,162,Mathematics 2,Carrasco Carrasco,Room 114,Monday,9:30:00,10:00:00
SEC069,,ST. SEBASTIAN,Grade 2,2,162,Mathematics 2,Carrasco Carrasco,Room 135,Saturday,11:00:00,12:00:00
SEC069,,ST. SEBASTIAN,Grade 2,2,161,English 2,Carrasco Carrasco,Room 186,Thursday,10:00:00,11:00:00
SEC069,,ST. SEBASTIAN,Grade 2,2,161,English 2,Carrasco Carrasco,Room 168,Thursday,11:00:00,12:00:00
SEC069,,ST. SEBASTIAN,Grade 2,2,161,English 2,Carrasco Carrasco,Room 224,Tuesday,13:00:00,14:00:00
SEC069,,ST. SEBASTIAN,Grade 2,2,162,Mathematics 2,Carrasco Carrasco,Room 207,Tuesday,16:00:00,17:00:00
SEC069,,ST. SEBASTIAN,Grade 2,2,162,Mathematics 2,Carrasco Carrasco,Room 226,Wednesday,13:00:00,14:00:00
