Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC051,,ANGEL OF PEACE,Grade 10,10,29,Araling Panlipunan 10,De Asis De Asis,Room 156,Friday,10:00:00,11:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,29,Araling Panlipunan 10,De Asis De Asis,Room 222,Monday,12:00:00,13:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,28,Science & Health 10,De Asis De Asis,Room 110,Monday,13:00:00,14:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,28,Science & Health 10,De Asis De Asis,Room 188,Saturday,9:30:00,10:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,27,Mathematics 10,De Asis De Asis,Room 195,Saturday,10:00:00,11:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,29,Araling Panlipunan 10,De Asis De Asis,Room 186,Thursday,9:30:00,10:30:00
SEC051,,ANGEL OF PEACE,Grade 10,10,27,Mathematics 10,De Asis De Asis,Room 185,Wednesday,14:00:00,15:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,28,Science & Health 10,De Asis De Asis,Room 146,Wednesday,15:00:00,16:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,27,Mathematics 10,De Asis De Asis,Room 176,Wednesday,16:00:00,17:00:00
SEC077,,ST. ALPHONSUS DE LIGUORI,Grade 10,10,27,Mathematics 10,De Asis De Asis,Room 103,Friday,9:30:00,10:00:00
SEC077,,ST. ALPHONSUS DE LIGUORI,Grade 10,10,28,Science & Health 10,De Asis De Asis,Room 243,Monday,7:30:00,8:30:00
SEC077,,ST. ALPHONSUS DE LIGUORI,Grade 10,10,29,Araling Panlipunan 10,De Asis De Asis,Room 118,Monday,10:30:00,11:00:00
SEC077,,ST. ALPHONSUS DE LIGUORI,Grade 10,10,28,Science & Health 10,De Asis De Asis,Room 154,Saturday,7:30:00,8:30:00
SEC077,,ST. ALPHONSUS DE LIGUORI,Grade 10,10,27,Mathematics 10,De Asis De Asis,Room 198,Thursday,7:30:00,8:30:00
SEC077,,ST. ALPHONSUS DE LIGUORI,Grade 10,10,27,Mathematics 10,De Asis De Asis,Room 203,Tuesday,7:30:00,8:30:00
SEC077,,ST. ALPHONSUS DE LIGUORI,Grade 10,10,29,Araling Panlipunan 10,De Asis De Asis,Room 152,Tuesday,13:00:00,14:00:00
SEC077,,ST. ALPHONSUS DE LIGUORI,Grade 10,10,29,Araling Panlipunan 10,De Asis De Asis,Room 219,Tuesday,16:00:00,17:00:00
SEC077,,ST. ALPHONSUS DE LIGUORI,Grade 10,10,28,Science & Health 10,De Asis De Asis,Room 228,Wednesday,9:30:00,10:00:00
SEC041,,ST. CLARE,Grade 10,10,29,Araling Panlipunan 10,De Asis De Asis,Room 114,Friday,13:00:00,14:00:00
