Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC050,,ANGEL REMIEL,Grade 9,9,19,Mathematics 9,De Lara De Lara,Room 186,Friday,14:00:00,15:00:00
SEC050,,ANGEL REMIEL,Grade 9,9,20,Science & Health 9,De Lara De Lara,Room 162,Friday,15:00:00,16:00:00
SEC050,,ANGEL REMIEL,Grade 9,9,20,Science & Health 9,De Lara De Lara,Room 224,Monday,7:30:00,8:30:00
SEC050,,ANGEL REMIEL,Grade 9,9,19,Mathematics 9,De Lara De Lara,Room 142,Monday,13:00:00,14:00:00
SEC050,,ANGEL REMIEL,Grade 9,9,20,Science & Health 9,De Lara De Lara,Room 185,Saturday,13:00:00,14:00:00
SEC050,,ANGEL REMIEL,Grade 9,9,21,Araling Panlipunan 9,De Lara De Lara,Room 248,Thursday,12:00:00,13:00:00
SEC050,,ANGEL REMIEL,Grade 9,9,19,Mathematics 9,De Lara De Lara,Room 231,Tuesday,13:00:00,14:00:00
SEC050,,ANGEL REMIEL,Grade 9,9,21,Araling Panlipunan 9,De Lara De Lara,Room 147,Wednesday,13:00:00,14:00:00
SEC050,,ANGEL REMIEL,Grade 9,9,21,Araling Panlipunan 9,De Lara De Lara,Room 163,Wednesday,14:00:00,15:00:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,20,Science & Health 9,De Lara De Lara,Room 126,Friday,16:00:00,17:00:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,21,Araling Panlipunan 9,De Lara De Lara,Room 217,Monday,10:00:00,11:00:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,19,Mathematics 9,De Lara De Lara,Room 181,Saturday,8:30:00,9:30:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,19,Mathematics 9,De Lara De Lara,Room 190,Saturday,11:00:00,12:00:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,20,Science & Health 9,De Lara De Lara,Room 233,Thursday,9:30:00,10:30:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,20,Science & Health 9,De Lara De Lara,Room 183,Thursday,15:00:00,16:00:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,21,Araling Panlipunan 9,De Lara De Lara,Room 163,Tuesday,9:30:00,10:30:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,21,Araling Panlipunan 9,De Lara De Lara,Room 139,Tuesday,11:00:00,12:00:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,19,Mathematics 9,De Lara De Lara,Room 168,Wednesday,9:30:00,10:00:00
SEC030,,ST. FRANCIS XAVIER,Grade 9,9,19,Mathematics 9,De Lara De Lara,Room 240,Friday,9:30:00,10:30:00
SEC030,,ST. FRANCIS XAVIER,Grade 9,9,20,Science & Health 9,De Lara De Lara,Room 206,Monday,11:00:00,12:00:00
SEC030,,ST. FRANCIS XAVIER,Grade 9,9,21,Araling Panlipunan 9,De Lara De Lara,Room 216,Monday,12:00:00,13:00:00
SEC030,,ST. FRANCIS XAVIER,Grade 9,9,21,Araling Panlipunan 9,De Lara De Lara,Room 161,Monday,14:00:00,15:00:00
SEC030,,ST. FRANCIS XAVIER,Grade 9,9,20,Science & Health 9,De Lara De Lara,Room 122,Saturday,7:30:00,8:30:00
SEC030,,ST. FRANCIS XAVIER,Grade 9,9,21,Araling Panlipunan 9,De Lara De Lara,Room 210,Thursday,7:30:00,8:30:00
SEC030,,ST. FRANCIS XAVIER,Grade 9,9,19,Mathematics 9,De Lara De Lara,Room 142,Tuesday,15:00:00,16:00:00
SEC030,,ST. FRANCIS XAVIER,Grade 9,9,19,Mathematics 9,De Lara De Lara,Room 207,Tuesday,16:00:00,17:00:00
SEC030,,ST. FRANCIS XAVIER,Grade 9,9,20,Science & Health 9,De Lara De Lara,Room 210,Wednesday,8:30:00,9:30:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,21,Araling Panlipunan 9,De Lara De Lara,Room 181,Friday,13:00:00,14:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,19,Mathematics 9,De Lara De Lara,Room 169,Saturday,14:00:00,15:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,19,Mathematics 9,De Lara De Lara,Room 194,Saturday,15:00:00,16:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,20,Science & Health 9,De Lara De Lara,Room 219,Thursday,10:30:00,11:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,20,Science & Health 9,De Lara De Lara,Room 198,Thursday,14:00:00,15:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,19,Mathematics 9,De Lara De Lara,Room 134,Wednesday,7:30:00,8:30:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,21,Araling Panlipunan 9,De Lara De Lara,Room 191,Wednesday,11:00:00,12:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,21,Araling Panlipunan 9,De Lara De Lara,Room 103,Wednesday,12:00:00,13:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,20,Science & Health 9,De Lara De Lara,Room 103,Wednesday,16:00:00,17:00:00
SEC063,,ST. PAUL,Grade 9,9,21,Araling Panlipunan 9,De Lara De Lara,Room 239,Friday,11:00:00,12:00:00
SEC063,,ST. PAUL,Grade 9,9,21,Araling Panlipunan 9,De Lara De Lara,Room 166,Friday,12:00:00,13:00:00
SEC063,,ST. PAUL,Grade 9,9,19,Mathematics 9,De Lara De Lara,Room 170,Monday,15:00:00,16:00:00
SEC063,,ST. PAUL,Grade 9,9,21,Araling Panlipunan 9,De Lara De Lara,Room 169,Saturday,10:00:00,11:00:00
SEC063,,ST. PAUL,Grade 9,9,19,Mathematics 9,De Lara De Lara,Room 127,Saturday,16:00:00,17:00:00
SEC063,,ST. PAUL,Grade 9,9,20,Science & Health 9,De Lara De Lara,Room 193,Thursday,8:30:00,9:30:00
SEC063,,ST. PAUL,Grade 9,9,19,Mathematics 9,De Lara De Lara,Room 209,Thursday,16:00:00,17:00:00
SEC063,,ST. PAUL,Grade 9,9,20,Science & Health 9,De Lara De Lara,Room 129,Tuesday,8:30:00,9:30:00
SEC063,,ST. PAUL,Grade 9,9,20,Science & Health 9,De Lara De Lara,Room 141,Wednesday,10:30:00,11:00:00
