Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC025,,OUR LADY OF LA SALETTE,Grade 4,4,178,English 4,Dela Cruz Dela Cruz,Room 182,Friday,9:30:00,10:00:00
SEC025,,OUR LADY OF LA SALETTE,Grade 4,4,178,English 4,Dela Cruz Dela Cruz,Room 245,Friday,15:00:00,16:00:00
SEC025,,OUR LADY OF LA SALETTE,Grade 4,4,179,Mathematics 4,Dela Cruz Dela Cruz,Room 190,Monday,11:00:00,12:00:00
SEC025,,OUR LADY OF LA SALETTE,Grade 4,4,178,English 4,Dela Cruz Dela Cruz,Room 232,Saturday,9:30:00,10:00:00
SEC025,,OUR LADY OF LA SALETTE,Grade 4,4,179,Mathematics 4,Dela Cruz Dela Cruz,Room 110,Saturday,11:00:00,12:00:00
SEC025,,OUR LADY OF LA SALETTE,Grade 4,4,178,English 4,Dela Cruz Dela Cruz,Room 123,Thursday,14:00:00,15:00:00
SEC025,,OUR LADY OF LA SALETTE,Grade 4,4,179,Mathematics 4,Dela Cruz Dela Cruz,Room 164,Tuesday,9:30:00,10:00:00
SEC049,,SERAPHIM,Grade 8,8,16,TLE 8,Dela Cruz Dela Cruz,Room 121,Saturday,8:30:00,9:30:00
SEC049,,SERAPHIM,Grade 8,8,15,MAPEH 8,Dela Cruz Dela Cruz,Room 203,Saturday,15:00:00,16:00:00
SEC049,,SERAPHIM,Grade 8,8,15,MAPEH 8,Dela Cruz Dela Cruz,Room 249,Thursday,10:00:00,11:00:00
SEC071,,ST. AMBROSE,Grade 4,4,179,Mathematics 4,Dela Cruz Dela Cruz,Room 165,Monday,10:00:00,11:00:00
SEC071,,ST. AMBROSE,Grade 4,4,178,English 4,Dela Cruz Dela Cruz,Room 229,Saturday,12:00:00,13:00:00
SEC071,,ST. AMBROSE,Grade 4,4,178,English 4,Dela Cruz Dela Cruz,Room 110,Thursday,16:00:00,17:00:00
SEC071,,ST. AMBROSE,Grade 4,4,179,Mathematics 4,Dela Cruz Dela Cruz,Room 148,Tuesday,7:30:00,8:30:00
SEC071,,ST. AMBROSE,Grade 4,4,178,English 4,Dela Cruz Dela Cruz,Room 190,Tuesday,16:00:00,17:00:00
SEC071,,ST. AMBROSE,Grade 4,4,178,English 4,Dela Cruz Dela Cruz,Room 173,Wednesday,8:30:00,9:30:00
SEC071,,ST. AMBROSE,Grade 4,4,179,Mathematics 4,Dela Cruz Dela Cruz,Room 103,Wednesday,15:00:00,16:00:00
SEC071,,ST. AMBROSE,Grade 4,4,179,Mathematics 4,Dela Cruz Dela Cruz,Room 138,Wednesday,16:00:00,17:00:00
SEC075,,ST. JEROME,Grade 8,8,16,TLE 8,Dela Cruz Dela Cruz,Room 191,Saturday,13:00:00,14:00:00
SEC075,,ST. JEROME,Grade 8,8,14,Christian Living Education 8,Dela Cruz Dela Cruz,Room 177,Thursday,13:00:00,14:00:00
SEC075,,ST. JEROME,Grade 8,8,16,TLE 8,Dela Cruz Dela Cruz,Room 103,Tuesday,14:00:00,15:00:00
SEC062,,ST. JOHN,Grade 8,8,15,MAPEH 8,Dela Cruz Dela Cruz,Room 219,Thursday,11:00:00,12:00:00
SEC062,,ST. JOHN,Grade 8,8,15,MAPEH 8,Dela Cruz Dela Cruz,Room 194,Thursday,15:00:00,16:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,178,English 4,Dela Cruz Dela Cruz,Room 115,Monday,7:30:00,8:30:00
