Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC072,,ST. ANSELM,Grade 5,5,190,Araling Panlipunan 5,Delos Santos Delos Santos,Room 103,Monday,13:00:00,14:00:00
SEC072,,ST. ANSELM,Grade 5,5,189,Science & Health 5,Delos Santos Delos Santos,Room 132,Monday,15:00:00,16:00:00
SEC072,,ST. ANSELM,Grade 5,5,189,Science & Health 5,Delos Santos Delos Santos,Room 236,Monday,16:00:00,17:00:00
SEC072,,ST. ANSELM,Grade 5,5,190,Araling Panlipunan 5,Delos Santos Delos Santos,Room 178,Thursday,13:00:00,14:00:00
SEC072,,ST. ANSELM,Grade 5,5,190,Araling Panlipunan 5,Delos Santos Delos Santos,Room 166,Tuesday,7:30:00,8:30:00
SEC072,,ST. ANSELM,Grade 5,5,189,Science & Health 5,Delos Santos Delos Santos,Room 177,Wednesday,9:30:00,10:00:00
SEC046,,ST. BLANDINE,Grade 5,5,190,Araling Panlipunan 5,Delos Santos Delos Santos,Room 144,Friday,9:30:00,10:30:00
SEC046,,ST. BLANDINE,Grade 5,5,190,Araling Panlipunan 5,Delos Santos Delos Santos,Room 236,Friday,11:00:00,12:00:00
SEC046,,ST. BLANDINE,Grade 5,5,189,Science & Health 5,Delos Santos Delos Santos,Room 152,Friday,12:00:00,13:00:00
SEC046,,ST. BLANDINE,Grade 5,5,189,Science & Health 5,Delos Santos Delos Santos,Room 218,Saturday,13:00:00,14:00:00
SEC046,,ST. BLANDINE,Grade 5,5,189,Science & Health 5,Delos Santos Delos Santos,Room 186,Tuesday,12:00:00,13:00:00
SEC046,,ST. BLANDINE,Grade 5,5,190,Araling Panlipunan 5,Delos Santos Delos Santos,Room 175,Wednesday,13:00:00,14:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,190,Araling Panlipunan 5,Delos Santos Delos Santos,Room 234,Friday,15:00:00,16:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,190,Araling Panlipunan 5,Delos Santos Delos Santos,Room 227,Monday,10:30:00,11:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,190,Araling Panlipunan 5,Delos Santos Delos Santos,Room 104,Saturday,15:00:00,16:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,189,Science & Health 5,Delos Santos Delos Santos,Room 238,Thursday,9:30:00,10:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,189,Science & Health 5,Delos Santos Delos Santos,Room 246,Wednesday,8:30:00,9:30:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,189,Science & Health 5,Delos Santos Delos Santos,Room 120,Wednesday,15:00:00,16:00:00
SEC059,,ST. MATTHEW,Grade 5,5,189,Science & Health 5,Delos Santos Delos Santos,Room 191,Monday,7:30:00,8:30:00
SEC059,,ST. MATTHEW,Grade 5,5,189,Science & Health 5,Delos Santos Delos Santos,Room 193,Monday,11:00:00,12:00:00
SEC059,,ST. MATTHEW,Grade 5,5,190,Araling Panlipunan 5,Delos Santos Delos Santos,Room 177,Saturday,7:30:00,8:30:00
SEC059,,ST. MATTHEW,Grade 5,5,190,Araling Panlipunan 5,Delos Santos Delos Santos,Room 170,Saturday,11:00:00,12:00:00
SEC059,,ST. MATTHEW,Grade 5,5,190,Araling Panlipunan 5,Delos Santos Delos Santos,Room 133,Tuesday,15:00:00,16:00:00
SEC059,,ST. MATTHEW,Grade 5,5,189,Science & Health 5,Delos Santos Delos Santos,Room 161,Wednesday,7:30:00,8:30:00
SEC036,,ST. PADRE PIO,Grade 5,5,190,Araling Panlipunan 5,Delos Santos Delos Santos,Room 196,Friday,16:00:00,17:00:00
SEC036,,ST. PADRE PIO,Grade 5,5,190,Araling Panlipunan 5,Delos Santos Delos Santos,Room 195,Monday,8:30:00,9:30:00
SEC036,,ST. PADRE PIO,Grade 5,5,189,Science & Health 5,Delos Santos Delos Santos,Room 126,Monday,14:00:00,15:00:00
SEC036,,ST. PADRE PIO,Grade 5,5,190,Araling Panlipunan 5,Delos Santos Delos Santos,Room 112,Saturday,12:00:00,13:00:00
SEC036,,ST. PADRE PIO,Grade 5,5,189,Science & Health 5,Delos Santos Delos Santos,Room 222,Saturday,14:00:00,15:00:00
SEC036,,ST. PADRE PIO,Grade 5,5,189,Science & Health 5,Delos Santos Delos Santos,Room 158,Thursday,15:00:00,16:00:00
