Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC050,,ANGEL REMIEL,Grade 9,9,24,TLE 9,Gumabon Gumabon,Room 217,Saturday,13:00:00,14:00:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,22,Christian Living Education 9,Gumabon Gumabon,Room 202,Monday,9:30:00,10:30:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,23,MAPEH 9,Gumabon Gumabon,Room 205,Monday,14:00:00,15:00:00
SEC030,,ST. FRANCIS XAVIER,Grade 9,9,23,MAPEH 9,Gumabon Gumabon,Room 198,Thursday,7:30:00,8:30:00
SEC030,,ST. FRANCIS XAVIER,Grade 9,9,22,Christian Living Education 9,Gumabon Gumabon,Room 134,Wednesday,16:00:00,17:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,24,TLE 9,Gumabon Gumabon,Room 143,Tuesday,12:00:00,13:00:00
SEC063,,ST. PAUL,Grade 9,9,22,Christian Living Education 9,Gumabon Gumabon,Room 196,Monday,10:30:00,11:00:00
SEC063,,ST. PAUL,Grade 9,9,23,MAPEH 9,Gumabon Gumabon,Room 216,Monday,16:00:00,17:00:00
SEC063,,ST. PAUL,Grade 9,9,22,Christian Living Education 9,Gumabon Gumabon,Room 138,Tuesday,11:00:00,12:00:00
SEC063,,ST. PAUL,Grade 9,9,24,TLE 9,Gumabon Gumabon,Room 169,Tuesday,15:00:00,16:00:00
SEC063,,ST. PAUL,Grade 9,9,24,TLE 9,Gumabon Gumabon,Room 150,Wednesday,10:00:00,11:00:00
SEC063,,ST. PAUL,Grade 9,9,23,MAPEH 9,Gumabon Gumabon,Room 147,Wednesday,14:00:00,15:00:00
