Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC072,,ST. ANSELM,Grade 5,5,192,MAPEH 5,Lati Lati,Room 234,Monday,11:00:00,12:00:00
SEC072,,ST. ANSELM,Grade 5,5,191,Christian Living Education 5,Lati Lati,Room 238,Saturday,9:30:00,10:00:00
SEC072,,ST. ANSELM,Grade 5,5,191,Christian Living Education 5,Lati Lati,Room 112,Thursday,15:00:00,16:00:00
SEC072,,ST. ANSELM,Grade 5,5,192,MAPEH 5,Lati Lati,Room 126,Thursday,16:00:00,17:00:00
SEC072,,ST. ANSELM,Grade 5,5,191,Christian Living Education 5,Lati Lati,Room 245,Tuesday,12:00:00,13:00:00
SEC072,,ST. ANSELM,Grade 5,5,192,MAPEH 5,Lati Lati,Room 234,Wednesday,12:00:00,13:00:00
SEC046,,ST. BLANDINE,Grade 5,5,191,Christian Living Education 5,Lati Lati,Room 154,Monday,7:30:00,8:30:00
SEC046,,ST. BLANDINE,Grade 5,5,192,MAPEH 5,Lati Lati,Room 156,Monday,10:00:00,11:00:00
SEC046,,ST. BLANDINE,Grade 5,5,191,Christian Living Education 5,Lati Lati,Room 250,Monday,16:00:00,17:00:00
SEC046,,ST. BLANDINE,Grade 5,5,192,MAPEH 5,Lati Lati,Room 107,Saturday,14:00:00,15:00:00
SEC046,,ST. BLANDINE,Grade 5,5,192,MAPEH 5,Lati Lati,Room 228,Tuesday,9:30:00,10:30:00
SEC046,,ST. BLANDINE,Grade 5,5,191,Christian Living Education 5,Lati Lati,Room 125,Wednesday,8:30:00,9:30:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,191,Christian Living Education 5,Lati Lati,Room 236,Saturday,16:00:00,17:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,192,MAPEH 5,Lati Lati,Room 163,Thursday,8:30:00,9:30:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,192,MAPEH 5,Lati Lati,Room 170,Thursday,13:00:00,14:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,192,MAPEH 5,Lati Lati,Room 189,Thursday,14:00:00,15:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,191,Christian Living Education 5,Lati Lati,Room 173,Tuesday,13:00:00,14:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,191,Christian Living Education 5,Lati Lati,Room 214,Wednesday,16:00:00,17:00:00
SEC059,,ST. MATTHEW,Grade 5,5,191,Christian Living Education 5,Lati Lati,Room 169,Friday,13:00:00,14:00:00
SEC059,,ST. MATTHEW,Grade 5,5,191,Christian Living Education 5,Lati Lati,Room 108,Monday,13:00:00,14:00:00
SEC059,,ST. MATTHEW,Grade 5,5,192,MAPEH 5,Lati Lati,Room 133,Monday,14:00:00,15:00:00
SEC059,,ST. MATTHEW,Grade 5,5,192,MAPEH 5,Lati Lati,Room 157,Saturday,15:00:00,16:00:00
SEC059,,ST. MATTHEW,Grade 5,5,191,Christian Living Education 5,Lati Lati,Room 115,Thursday,11:00:00,12:00:00
SEC059,,ST. MATTHEW,Grade 5,5,192,MAPEH 5,Lati Lati,Room 143,Tuesday,11:00:00,12:00:00
SEC036,,ST. PADRE PIO,Grade 5,5,192,MAPEH 5,Lati Lati,Room 223,Friday,10:00:00,11:00:00
SEC036,,ST. PADRE PIO,Grade 5,5,191,Christian Living Education 5,Lati Lati,Room 216,Friday,12:00:00,13:00:00
SEC036,,ST. PADRE PIO,Grade 5,5,191,Christian Living Education 5,Lati Lati,Room 139,Friday,15:00:00,16:00:00
SEC036,,ST. PADRE PIO,Grade 5,5,192,MAPEH 5,Lati Lati,Room 200,Monday,12:00:00,13:00:00
SEC036,,ST. PADRE PIO,Grade 5,5,192,MAPEH 5,Lati Lati,Room 140,Wednesday,11:00:00,12:00:00
SEC036,,ST. PADRE PIO,Grade 5,5,191,Christian Living Education 5,Lati Lati,Room 132,Wednesday,15:00:00,16:00:00
