Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC051,,ANGEL OF PEACE,Grade 10,10,223,ICT 10,Layag Layag,Room 200,Thursday,10:30:00,11:00:00
SEC051,,ANGEL OF PEACE,Grade 10,10,223,ICT 10,Layag Layag,Room 145,Wednesday,9:30:00,10:00:00
SEC050,,ANGEL REMIEL,Grade 9,9,225,ICT 9,Layag Layag,Room 147,Monday,7:30:00,8:30:00
SEC050,,ANGEL REMIEL,Grade 9,9,225,ICT 9,Layag Layag,Room 164,Thursday,13:00:00,14:00:00
SEC048,,CHERUBIM,Grade 7,7,224,ICT 7,Layag Layag,Room 217,Saturday,15:00:00,16:00:00
SEC048,,CHERUBIM,Grade 7,7,224,ICT 7,Layag Layag,Room 111,Wednesday,12:00:00,13:00:00
SEC049,,SERAPHIM,Grade 8,8,226,ICT 8,Layag Layag,Room 172,Friday,14:00:00,15:00:00
SEC049,,SERAPHIM,Grade 8,8,226,ICT 8,Layag Layag,Room 205,Saturday,12:00:00,13:00:00
SEC077,,ST. ALPHONSUS DE LIGUORI,Grade 10,10,223,ICT 10,Layag Layag,Room 211,Tuesday,14:00:00,15:00:00
SEC077,,ST. ALPHONSUS DE LIGUORI,Grade 10,10,223,ICT 10,Layag Layag,Room 153,Wednesday,11:00:00,12:00:00
SEC028,,ST. ANTHONY OF PADUA,Grade 7,7,224,ICT 7,Layag Layag,Room 159,Saturday,7:30:00,8:30:00
SEC028,,ST. ANTHONY OF PADUA,Grade 7,7,224,ICT 7,Layag Layag,Room 148,Saturday,16:00:00,17:00:00
SEC074,,ST. CATHERINE OF SIENA,Grade 7,7,224,ICT 7,Layag Layag,Room 177,Friday,9:30:00,10:00:00
SEC074,,ST. CATHERINE OF SIENA,Grade 7,7,224,ICT 7,Layag Layag,Room 219,Thursday,8:30:00,9:30:00
SEC041,,ST. CLARE,Grade 10,10,223,ICT 10,Layag Layag,Room 190,Saturday,9:30:00,10:30:00
SEC041,,ST. CLARE,Grade 10,10,223,ICT 10,Layag Layag,Room 147,Tuesday,13:00:00,14:00:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,225,ICT 9,Layag Layag,Room 120,Monday,11:00:00,12:00:00
SEC040,,ST. FRANCIS OF ASSISI,Grade 9,9,225,ICT 9,Layag Layag,Room 189,Saturday,13:00:00,14:00:00
SEC030,,ST. FRANCIS XAVIER,Grade 9,9,225,ICT 9,Layag Layag,Room 122,Monday,15:00:00,16:00:00
SEC030,,ST. FRANCIS XAVIER,Grade 9,9,225,ICT 9,Layag Layag,Room 233,Thursday,9:30:00,10:00:00
SEC061,,ST. JAMES,Grade 7,7,224,ICT 7,Layag Layag,Room 178,Monday,16:00:00,17:00:00
SEC061,,ST. JAMES,Grade 7,7,224,ICT 7,Layag Layag,Room 169,Tuesday,10:30:00,11:00:00
SEC075,,ST. JEROME,Grade 8,8,226,ICT 8,Layag Layag,Room 241,Friday,11:00:00,12:00:00
SEC075,,ST. JEROME,Grade 8,8,226,ICT 8,Layag Layag,Room 201,Wednesday,15:00:00,16:00:00
SEC062,,ST. JOHN,Grade 8,8,226,ICT 8,Layag Layag,Room 206,Thursday,7:30:00,8:30:00
SEC062,,ST. JOHN,Grade 8,8,226,ICT 8,Layag Layag,Room 221,Tuesday,12:00:00,13:00:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,225,ICT 9,Layag Layag,Room 182,Saturday,8:30:00,9:30:00
SEC076,,ST. JOHN PAUL II,Grade 9,9,225,ICT 9,Layag Layag,Room 145,Wednesday,14:00:00,15:00:00
SEC029,,ST. JUSTIN,Grade 8,8,226,ICT 8,Layag Layag,Room 217,Friday,13:00:00,14:00:00
SEC029,,ST. JUSTIN,Grade 8,8,226,ICT 8,Layag Layag,Room 146,Saturday,11:00:00,12:00:00
SEC038,,ST. LAWRENCE,Grade 7,7,224,ICT 7,Layag Layag,Room 185,Thursday,12:00:00,13:00:00
SEC038,,ST. LAWRENCE,Grade 7,7,224,ICT 7,Layag Layag,Room 195,Thursday,14:00:00,15:00:00
SEC031,,ST. LUKE,Grade 10,10,223,ICT 10,Layag Layag,Room 174,Friday,8:30:00,9:30:00
SEC031,,ST. LUKE,Grade 10,10,223,ICT 10,Layag Layag,Room 121,Tuesday,8:30:00,9:30:00
SEC063,,ST. PAUL,Grade 9,9,225,ICT 9,Layag Layag,Room 152,Saturday,10:30:00,11:00:00
SEC063,,ST. PAUL,Grade 9,9,225,ICT 9,Layag Layag,Room 124,Tuesday,11:00:00,12:00:00
SEC064,,ST. PETER,Grade 10,10,223,ICT 10,Layag Layag,Room 167,Monday,14:00:00,15:00:00
SEC064,,ST. PETER,Grade 10,10,223,ICT 10,Layag Layag,Room 209,Tuesday,9:30:00,10:00:00
SEC039,,ST. ROCH,Grade 8,8,226,ICT 8,Layag Layag,Room 184,Friday,10:30:00,11:00:00
SEC039,,ST. ROCH,Grade 8,8,226,ICT 8,Layag Layag,Room 203,Thursday,11:00:00,12:00:00
