Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC049,,SERAPHIM,Grade 8,8,11,Mathematics 8,Manago Manago,Room 142,Friday,8:30:00,9:30:00
SEC049,,SERAPHIM,Grade 8,8,13,Araling Panlipunan 8,Manago Manago,Room 103,Friday,11:00:00,12:00:00
SEC049,,SERAPHIM,Grade 8,8,11,Mathematics 8,Manago Manago,Room 163,Monday,14:00:00,15:00:00
SEC049,,SERAPHIM,Grade 8,8,13,Araling Panlipunan 8,Manago Manago,Room 134,Saturday,10:30:00,11:00:00
SEC049,,SERAPHIM,Grade 8,8,13,Araling Panlipunan 8,Manago Manago,Room 231,Saturday,11:00:00,12:00:00
SEC049,,SERAPHIM,Grade 8,8,11,Mathematics 8,Manago Manago,Room 184,Thursday,8:30:00,9:30:00
SEC049,,SERAPHIM,Grade 8,8,12,Science & Health 8,Manago Manago,Room 205,Tuesday,7:30:00,8:30:00
SEC049,,SERAPHIM,Grade 8,8,12,Science & Health 8,Manago Manago,Room 158,Tuesday,14:00:00,15:00:00
SEC049,,SERAPHIM,Grade 8,8,12,Science & Health 8,Manago Manago,Room 224,Wednesday,11:00:00,12:00:00
SEC075,,ST. JEROME,Grade 8,8,11,Mathematics 8,Manago Manago,Room 150,Friday,9:30:00,10:00:00
SEC075,,ST. JEROME,Grade 8,8,13,Araling Panlipunan 8,Manago Manago,Room 169,Monday,11:00:00,12:00:00
SEC075,,ST. JEROME,Grade 8,8,12,Science & Health 8,Manago Manago,Room 152,Saturday,7:30:00,8:30:00
SEC075,,ST. JEROME,Grade 8,8,11,Mathematics 8,Manago Manago,Room 165,Tuesday,8:30:00,9:30:00
SEC075,,ST. JEROME,Grade 8,8,12,Science & Health 8,Manago Manago,Room 137,Tuesday,10:00:00,11:00:00
SEC075,,ST. JEROME,Grade 8,8,12,Science & Health 8,Manago Manago,Room 122,Tuesday,11:00:00,12:00:00
SEC075,,ST. JEROME,Grade 8,8,13,Araling Panlipunan 8,Manago Manago,Room 151,Tuesday,12:00:00,13:00:00
SEC075,,ST. JEROME,Grade 8,8,13,Araling Panlipunan 8,Manago Manago,Room 198,Tuesday,15:00:00,16:00:00
SEC075,,ST. JEROME,Grade 8,8,11,Mathematics 8,Manago Manago,Room 166,Tuesday,16:00:00,17:00:00
SEC062,,ST. JOHN,Grade 8,8,12,Science & Health 8,Manago Manago,Room 182,Friday,12:00:00,13:00:00
SEC062,,ST. JOHN,Grade 8,8,13,Araling Panlipunan 8,Manago Manago,Room 109,Monday,7:30:00,8:30:00
SEC062,,ST. JOHN,Grade 8,8,11,Mathematics 8,Manago Manago,Room 212,Monday,12:00:00,13:00:00
SEC062,,ST. JOHN,Grade 8,8,13,Araling Panlipunan 8,Manago Manago,Room 195,Monday,16:00:00,17:00:00
SEC062,,ST. JOHN,Grade 8,8,13,Araling Panlipunan 8,Manago Manago,Room 231,Saturday,9:30:00,10:30:00
SEC062,,ST. JOHN,Grade 8,8,12,Science & Health 8,Manago Manago,Room 222,Wednesday,7:30:00,8:30:00
SEC062,,ST. JOHN,Grade 8,8,12,Science & Health 8,Manago Manago,Room 243,Wednesday,9:30:00,10:30:00
SEC062,,ST. JOHN,Grade 8,8,11,Mathematics 8,Manago Manago,Room 173,Wednesday,14:00:00,15:00:00
SEC062,,ST. JOHN,Grade 8,8,11,Mathematics 8,Manago Manago,Room 204,Wednesday,15:00:00,16:00:00
SEC029,,ST. JUSTIN,Grade 8,8,11,Mathematics 8,Manago Manago,Room 211,Friday,15:00:00,16:00:00
SEC029,,ST. JUSTIN,Grade 8,8,12,Science & Health 8,Manago Manago,Room 124,Monday,13:00:00,14:00:00
SEC029,,ST. JUSTIN,Grade 8,8,13,Araling Panlipunan 8,Manago Manago,Room 165,Saturday,12:00:00,13:00:00
SEC029,,ST. JUSTIN,Grade 8,8,12,Science & Health 8,Manago Manago,Room 106,Thursday,9:30:00,10:00:00
SEC029,,ST. JUSTIN,Grade 8,8,11,Mathematics 8,Manago Manago,Room 226,Thursday,10:30:00,11:00:00
SEC029,,ST. JUSTIN,Grade 8,8,11,Mathematics 8,Manago Manago,Room 103,Thursday,13:00:00,14:00:00
SEC029,,ST. JUSTIN,Grade 8,8,13,Araling Panlipunan 8,Manago Manago,Room 174,Thursday,15:00:00,16:00:00
SEC029,,ST. JUSTIN,Grade 8,8,13,Araling Panlipunan 8,Manago Manago,Room 168,Tuesday,13:00:00,14:00:00
SEC029,,ST. JUSTIN,Grade 8,8,12,Science & Health 8,Manago Manago,Room 171,Wednesday,13:00:00,14:00:00
SEC039,,ST. ROCH,Grade 8,8,12,Science & Health 8,Manago Manago,Room 174,Monday,9:30:00,10:00:00
SEC039,,ST. ROCH,Grade 8,8,11,Mathematics 8,Manago Manago,Room 212,Monday,10:00:00,11:00:00
SEC039,,ST. ROCH,Grade 8,8,13,Araling Panlipunan 8,Manago Manago,Room 127,Monday,15:00:00,16:00:00
SEC039,,ST. ROCH,Grade 8,8,11,Mathematics 8,Manago Manago,Room 178,Saturday,8:30:00,9:30:00
SEC039,,ST. ROCH,Grade 8,8,12,Science & Health 8,Manago Manago,Room 234,Saturday,13:00:00,14:00:00
SEC039,,ST. ROCH,Grade 8,8,13,Araling Panlipunan 8,Manago Manago,Room 129,Thursday,7:30:00,8:30:00
SEC039,,ST. ROCH,Grade 8,8,13,Araling Panlipunan 8,Manago Manago,Room 179,Thursday,14:00:00,15:00:00
SEC039,,ST. ROCH,Grade 8,8,12,Science & Health 8,Manago Manago,Room 193,Wednesday,8:30:00,9:30:00
SEC039,,ST. ROCH,Grade 8,8,11,Mathematics 8,Manago Manago,Room 231,Wednesday,12:00:00,13:00:00
