Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC023,,OUR LADY OF FATIMA,Grade 2,2,164,Christian Living Education 2,Napili Napili,Room 241,Friday,9:30:00,10:00:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,164,Christian Living Education 2,Napili Napili,Room 174,Friday,10:30:00,11:00:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,164,Christian Living Education 2,Napili Napili,Room 112,Monday,7:30:00,8:30:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,165,MAPEH 2,Napili Napili,Room 111,Saturday,13:00:00,14:00:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,165,MAPEH 2,Napili Napili,Room 216,Wednesday,10:00:00,11:00:00
SEC023,,OUR LADY OF FATIMA,Grade 2,2,165,MAPEH 2,Napili Napili,Room 250,Wednesday,11:00:00,12:00:00
SEC033,,ST. CAMILLUS DE LELLIS,Grade 2,2,165,MAPEH 2,Napili Napili,Room 148,Friday,13:00:00,14:00:00
SEC033,,ST. CAMILLUS DE LELLIS,Grade 2,2,165,MAPEH 2,Napili Napili,Room 133,Friday,14:00:00,15:00:00
SEC033,,ST. CAMILLUS DE LELLIS,Grade 2,2,165,MAPEH 2,Napili Napili,Room 117,Friday,16:00:00,17:00:00
SEC033,,ST. CAMILLUS DE LELLIS,Grade 2,2,164,Christian Living Education 2,Napili Napili,Room 224,Monday,10:00:00,11:00:00
SEC033,,ST. CAMILLUS DE LELLIS,Grade 2,2,164,Christian Living Education 2,Napili Napili,Room 134,Saturday,12:00:00,13:00:00
SEC033,,ST. CAMILLUS DE LELLIS,Grade 2,2,164,Christian Living Education 2,Napili Napili,Room 224,Thursday,15:00:00,16:00:00
SEC056,,ST. JOHN BOSCO,Grade 2,2,165,MAPEH 2,Napili Napili,Room 187,Monday,14:00:00,15:00:00
SEC056,,ST. JOHN BOSCO,Grade 2,2,165,MAPEH 2,Napili Napili,Room 131,Saturday,11:00:00,12:00:00
SEC056,,ST. JOHN BOSCO,Grade 2,2,164,Christian Living Education 2,Napili Napili,Room 248,Thursday,9:30:00,10:00:00
SEC056,,ST. JOHN BOSCO,Grade 2,2,164,Christian Living Education 2,Napili Napili,Room 184,Thursday,13:00:00,14:00:00
SEC056,,ST. JOHN BOSCO,Grade 2,2,165,MAPEH 2,Napili Napili,Room 227,Tuesday,8:30:00,9:30:00
SEC056,,ST. JOHN BOSCO,Grade 2,2,164,Christian Living Education 2,Napili Napili,Room 156,Tuesday,12:00:00,13:00:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,165,MAPEH 2,Napili Napili,Room 183,Monday,11:00:00,12:00:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,164,Christian Living Education 2,Napili Napili,Room 111,Monday,16:00:00,17:00:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,165,MAPEH 2,Napili Napili,Room 119,Saturday,8:30:00,9:30:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,165,MAPEH 2,Napili Napili,Room 207,Saturday,9:30:00,10:00:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,164,Christian Living Education 2,Napili Napili,Room 231,Thursday,10:00:00,11:00:00
SEC043,,ST. MARIA GORETTI,Grade 2,2,164,Christian Living Education 2,Napili Napili,Room 103,Wednesday,7:30:00,8:30:00
SEC069,,ST. SEBASTIAN,Grade 2,2,164,Christian Living Education 2,Napili Napili,Room 239,Friday,8:30:00,9:30:00
SEC069,,ST. SEBASTIAN,Grade 2,2,165,MAPEH 2,Napili Napili,Room 106,Monday,12:00:00,13:00:00
SEC069,,ST. SEBASTIAN,Grade 2,2,165,MAPEH 2,Napili Napili,Room 192,Monday,15:00:00,16:00:00
SEC069,,ST. SEBASTIAN,Grade 2,2,164,Christian Living Education 2,Napili Napili,Room 194,Saturday,15:00:00,16:00:00
SEC069,,ST. SEBASTIAN,Grade 2,2,164,Christian Living Education 2,Napili Napili,Room 167,Thursday,16:00:00,17:00:00
SEC069,,ST. SEBASTIAN,Grade 2,2,165,MAPEH 2,Napili Napili,Room 250,Tuesday,13:00:00,14:00:00
