Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC022,,OUR LADY OF CHARTRES,Grade 1,1,154,Language 1,Obedoza Obedoza,Room 160,Friday,14:00:00,15:00:00
SEC022,,OUR LADY OF CHARTRES,Grade 1,1,144,Reading and Literacy 1,Obedoza Obedoza,Room 125,Monday,11:00:00,12:00:00
SEC022,,OUR LADY OF CHARTRES,Grade 1,1,154,Language 1,Obedoza Obedoza,Room 235,Thursday,11:00:00,12:00:00
SEC022,,OUR LADY OF CHARTRES,Grade 1,1,154,Language 1,Obedoza Obedoza,Room 198,Tuesday,9:30:00,10:00:00
SEC042,,ST. AGNES,Grade 1,1,154,Language 1,Obedoza Obedoza,Room 167,Friday,11:00:00,12:00:00
SEC042,,ST. AGNES,Grade 1,1,154,Language 1,Obedoza Obedoza,Room 150,Monday,16:00:00,17:00:00
SEC042,,ST. AGNES,Grade 1,1,154,Language 1,Obedoza Obedoza,Room 244,Thursday,7:30:00,8:30:00
SEC042,,ST. AGNES,Grade 1,1,144,Reading and Literacy 1,Obedoza Obedoza,Room 132,Thursday,15:00:00,16:00:00
SEC032,,ST. ANNE,Grade 1,1,154,Language 1,Obedoza Obedoza,Room 195,Friday,8:30:00,9:30:00
SEC032,,ST. ANNE,Grade 1,1,154,Language 1,Obedoza Obedoza,Room 250,Monday,7:30:00,8:30:00
SEC032,,ST. ANNE,Grade 1,1,154,Language 1,Obedoza Obedoza,Room 168,Saturday,7:30:00,8:30:00
SEC032,,ST. ANNE,Grade 1,1,144,Reading and Literacy 1,Obedoza Obedoza,Room 190,Tuesday,15:00:00,16:00:00
SEC055,,ST. DOMINIC SAVIO,Grade 1,1,154,Language 1,Obedoza Obedoza,Room 207,Saturday,11:00:00,12:00:00
SEC055,,ST. DOMINIC SAVIO,Grade 1,1,144,Reading and Literacy 1,Obedoza Obedoza,Room 180,Saturday,16:00:00,17:00:00
SEC055,,ST. DOMINIC SAVIO,Grade 1,1,154,Language 1,Obedoza Obedoza,Room 199,Thursday,12:00:00,13:00:00
SEC055,,ST. DOMINIC SAVIO,Grade 1,1,154,Language 1,Obedoza Obedoza,Room 181,Tuesday,14:00:00,15:00:00
SEC068,,ST. PEDRO CALUNGSOD,Grade 1,1,154,Language 1,Obedoza Obedoza,Room 219,Friday,16:00:00,17:00:00
SEC068,,ST. PEDRO CALUNGSOD,Grade 1,1,154,Language 1,Obedoza Obedoza,Room 250,Saturday,9:30:00,10:30:00
SEC068,,ST. PEDRO CALUNGSOD,Grade 1,1,144,Reading and Literacy 1,Obedoza Obedoza,Room 190,Thursday,13:00:00,14:00:00
SEC068,,ST. PEDRO CALUNGSOD,Grade 1,1,154,Language 1,Obedoza Obedoza,Room 163,Wednesday,16:00:00,17:00:00
