Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC060,,ST. ANDREW,Grade 6,6,200,MAPEH 6,Orolaza Orolaza,Room 149,Friday,11:00:00,12:00:00
SEC060,,ST. ANDREW,Grade 6,6,200,MAPEH 6,Orolaza Orolaza,Room 104,Friday,12:00:00,13:00:00
SEC060,,ST. ANDREW,Grade 6,6,199,Christian Living Education 6,Orolaza Orolaza,Room 134,Saturday,12:00:00,13:00:00
SEC060,,ST. ANDREW,Grade 6,6,199,Christian Living Education 6,Orolaza Orolaza,Room 216,Tuesday,10:00:00,11:00:00
SEC060,,ST. ANDREW,Grade 6,6,199,Christian Living Education 6,Orolaza Orolaza,Room 155,Tuesday,14:00:00,15:00:00
SEC060,,ST. ANDREW,Grade 6,6,200,MAPEH 6,Orolaza Orolaza,Room 106,Wednesday,9:30:00,10:30:00
SEC037,,ST. BLASÉ,Grade 6,6,199,Christian Living Education 6,Orolaza Orolaza,Room 186,Friday,10:00:00,11:00:00
SEC037,,ST. BLASÉ,Grade 6,6,200,MAPEH 6,Orolaza Orolaza,Room 141,Monday,15:00:00,16:00:00
SEC037,,ST. BLASÉ,Grade 6,6,199,Christian Living Education 6,Orolaza Orolaza,Room 184,Monday,16:00:00,17:00:00
SEC037,,ST. BLASÉ,Grade 6,6,200,MAPEH 6,Orolaza Orolaza,Room 111,Saturday,9:30:00,10:30:00
SEC037,,ST. BLASÉ,Grade 6,6,200,MAPEH 6,Orolaza Orolaza,Room 211,Thursday,14:00:00,15:00:00
SEC037,,ST. BLASÉ,Grade 6,6,199,Christian Living Education 6,Orolaza Orolaza,Room 137,Thursday,15:00:00,16:00:00
SEC073,,ST. BONAVENTURE,Grade 6,6,199,Christian Living Education 6,Orolaza Orolaza,Room 130,Friday,14:00:00,15:00:00
SEC073,,ST. BONAVENTURE,Grade 6,6,199,Christian Living Education 6,Orolaza Orolaza,Room 238,Saturday,13:00:00,14:00:00
SEC073,,ST. BONAVENTURE,Grade 6,6,200,MAPEH 6,Orolaza Orolaza,Room 242,Saturday,16:00:00,17:00:00
SEC073,,ST. BONAVENTURE,Grade 6,6,200,MAPEH 6,Orolaza Orolaza,Room 169,Tuesday,11:00:00,12:00:00
SEC073,,ST. BONAVENTURE,Grade 6,6,200,MAPEH 6,Orolaza Orolaza,Room 228,Tuesday,12:00:00,13:00:00
SEC073,,ST. BONAVENTURE,Grade 6,6,199,Christian Living Education 6,Orolaza Orolaza,Room 158,Tuesday,15:00:00,16:00:00
SEC047,,ST. JHUDIEL,Grade 6,6,200,MAPEH 6,Orolaza Orolaza,Room 107,Friday,16:00:00,17:00:00
SEC047,,ST. JHUDIEL,Grade 6,6,200,MAPEH 6,Orolaza Orolaza,Room 161,Monday,11:00:00,12:00:00
SEC047,,ST. JHUDIEL,Grade 6,6,199,Christian Living Education 6,Orolaza Orolaza,Room 127,Saturday,10:30:00,11:00:00
SEC047,,ST. JHUDIEL,Grade 6,6,199,Christian Living Education 6,Orolaza Orolaza,Room 218,Saturday,11:00:00,12:00:00
SEC047,,ST. JHUDIEL,Grade 6,6,200,MAPEH 6,Orolaza Orolaza,Room 179,Thursday,12:00:00,13:00:00
SEC047,,ST. JHUDIEL,Grade 6,6,199,Christian Living Education 6,Orolaza Orolaza,Room 120,Wednesday,13:00:00,14:00:00
SEC027,,ST. PATRICK,Grade 6,6,200,MAPEH 6,Orolaza Orolaza,Room 247,Monday,10:00:00,11:00:00
SEC027,,ST. PATRICK,Grade 6,6,199,Christian Living Education 6,Orolaza Orolaza,Room 146,Thursday,7:30:00,8:30:00
SEC027,,ST. PATRICK,Grade 6,6,200,MAPEH 6,Orolaza Orolaza,Room 188,Thursday,13:00:00,14:00:00
SEC027,,ST. PATRICK,Grade 6,6,200,MAPEH 6,Orolaza Orolaza,Room 128,Tuesday,7:30:00,8:30:00
SEC027,,ST. PATRICK,Grade 6,6,199,Christian Living Education 6,Orolaza Orolaza,Room 171,Tuesday,8:30:00,9:30:00
SEC027,,ST. PATRICK,Grade 6,6,199,Christian Living Education 6,Orolaza Orolaza,Room 207,Wednesday,15:00:00,16:00:00
