Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC072,,ST. ANSELM,Grade 5,5,193,Computer 5,Ramirez Ramirez,Room 148,Monday,8:30:00,9:30:00
SEC072,,ST. ANSELM,Grade 5,5,194,HELE 5,Ramirez Ramirez,Room 210,Monday,16:00:00,17:00:00
SEC072,,ST. ANSELM,Grade 5,5,232,Robotics 5,Ramirez Ramirez,Room 111,Saturday,12:00:00,13:00:00
SEC072,,ST. ANSELM,Grade 5,5,193,Computer 5,Ramirez Ramirez,Room 142,Thursday,8:30:00,9:30:00
SEC072,,ST. ANSELM,Grade 5,5,194,HELE 5,Ramirez Ramirez,Room 194,Tuesday,13:00:00,14:00:00
SEC046,,ST. BLANDINE,Grade 5,5,193,Computer 5,Ramirez Ramirez,Room 181,Friday,16:00:00,17:00:00
SEC046,,ST. BLANDINE,Grade 5,5,193,Computer 5,Ramirez Ramirez,Room 135,Saturday,7:30:00,8:30:00
SEC046,,ST. BLANDINE,Grade 5,5,194,HELE 5,Ramirez Ramirez,Room 151,Thursday,13:00:00,14:00:00
SEC046,,ST. BLANDINE,Grade 5,5,232,Robotics 5,Ramirez Ramirez,Room 129,Thursday,15:00:00,16:00:00
SEC046,,ST. BLANDINE,Grade 5,5,194,HELE 5,Ramirez Ramirez,Room 160,Wednesday,12:00:00,13:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,232,Robotics 5,Ramirez Ramirez,Room 148,Friday,12:00:00,13:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,194,HELE 5,Ramirez Ramirez,Room 233,Friday,15:00:00,16:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,194,HELE 5,Ramirez Ramirez,Room 234,Monday,11:00:00,12:00:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,193,Computer 5,Ramirez Ramirez,Room 231,Saturday,8:30:00,9:30:00
SEC026,,ST. CHRISTOPHER,Grade 5,5,193,Computer 5,Ramirez Ramirez,Room 199,Tuesday,10:30:00,11:00:00
SEC059,,ST. MATTHEW,Grade 5,5,193,Computer 5,Ramirez Ramirez,Room 214,Friday,10:30:00,11:00:00
SEC059,,ST. MATTHEW,Grade 5,5,194,HELE 5,Ramirez Ramirez,Room 249,Friday,13:00:00,14:00:00
SEC059,,ST. MATTHEW,Grade 5,5,193,Computer 5,Ramirez Ramirez,Room 241,Saturday,14:00:00,15:00:00
SEC059,,ST. MATTHEW,Grade 5,5,232,Robotics 5,Ramirez Ramirez,Room 138,Tuesday,12:00:00,13:00:00
SEC059,,ST. MATTHEW,Grade 5,5,194,HELE 5,Ramirez Ramirez,Room 235,Wednesday,15:00:00,16:00:00
SEC036,,ST. PADRE PIO,Grade 5,5,193,Computer 5,Ramirez Ramirez,Room 160,Friday,11:00:00,12:00:00
SEC036,,ST. PADRE PIO,Grade 5,5,194,HELE 5,Ramirez Ramirez,Room 229,Monday,9:30:00,10:00:00
SEC036,,ST. PADRE PIO,Grade 5,5,232,Robotics 5,Ramirez Ramirez,Room 200,Saturday,10:00:00,11:00:00
SEC036,,ST. PADRE PIO,Grade 5,5,194,HELE 5,Ramirez Ramirez,Room 224,Thursday,7:30:00,8:30:00
SEC036,,ST. PADRE PIO,Grade 5,5,193,Computer 5,Ramirez Ramirez,Room 220,Thursday,11:00:00,12:00:00
