Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC025,,OUR LADY OF LA SALETTE,Grade 4,4,180,Science & Health 4,Rimarim Rimarim,Room 137,Friday,11:00:00,12:00:00
SEC025,,OUR LADY OF LA SALETTE,Grade 4,4,180,Science & Health 4,Rimarim Rimarim,Room 153,Friday,13:00:00,14:00:00
SEC025,,OUR LADY OF LA SALETTE,Grade 4,4,180,Science & Health 4,Rimarim Rimarim,Room 195,Monday,12:00:00,13:00:00
SEC025,,OUR LADY OF LA SALETTE,Grade 4,4,185,Araling Panlipunan 4,Rimarim Rimarim,Room 225,Monday,16:00:00,17:00:00
SEC025,,OUR LADY OF LA SALETTE,Grade 4,4,185,Araling Panlipunan 4,Rimarim Rimarim,Room 219,Tuesday,15:00:00,16:00:00
SEC025,,OUR LADY OF LA SALETTE,Grade 4,4,185,Araling Panlipunan 4,Rimarim Rimarim,Room 224,Wednesday,7:30:00,8:30:00
SEC025,,OUR LADY OF LA SALETTE,Grade 4,4,180,Science & Health 4,Rimarim Rimarim,Room 226,Wednesday,13:00:00,14:00:00
SEC071,,ST. AMBROSE,Grade 4,4,185,Araling Panlipunan 4,Rimarim Rimarim,Room 207,Friday,15:00:00,16:00:00
SEC071,,ST. AMBROSE,Grade 4,4,180,Science & Health 4,Rimarim Rimarim,Room 109,Monday,8:30:00,9:30:00
SEC071,,ST. AMBROSE,Grade 4,4,180,Science & Health 4,Rimarim Rimarim,Room 222,Monday,15:00:00,16:00:00
SEC071,,ST. AMBROSE,Grade 4,4,185,Araling Panlipunan 4,Rimarim Rimarim,Room 175,Saturday,7:30:00,8:30:00
SEC071,,ST. AMBROSE,Grade 4,4,180,Science & Health 4,Rimarim Rimarim,Room 173,Thursday,13:00:00,14:00:00
SEC071,,ST. AMBROSE,Grade 4,4,180,Science & Health 4,Rimarim Rimarim,Room 145,Tuesday,13:00:00,14:00:00
SEC071,,ST. AMBROSE,Grade 4,4,185,Araling Panlipunan 4,Rimarim Rimarim,Room 159,Tuesday,14:00:00,15:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,180,Science & Health 4,Rimarim Rimarim,Room 125,Friday,10:30:00,11:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,185,Araling Panlipunan 4,Rimarim Rimarim,Room 214,Friday,12:00:00,13:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,180,Science & Health 4,Rimarim Rimarim,Room 115,Monday,9:30:00,10:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,185,Araling Panlipunan 4,Rimarim Rimarim,Room 174,Monday,14:00:00,15:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,180,Science & Health 4,Rimarim Rimarim,Room 240,Saturday,8:30:00,9:30:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,180,Science & Health 4,Rimarim Rimarim,Room 130,Thursday,10:00:00,11:00:00
SEC058,,ST. JOSEPH OF CUPERTINO,Grade 4,4,185,Araling Panlipunan 4,Rimarim Rimarim,Room 177,Wednesday,14:00:00,15:00:00
SEC045,,ST. ROSE OF LIMA,Grade 4,4,180,Science & Health 4,Rimarim Rimarim,Room 162,Saturday,16:00:00,17:00:00
SEC045,,ST. ROSE OF LIMA,Grade 4,4,180,Science & Health 4,Rimarim Rimarim,Room 116,Thursday,7:30:00,8:30:00
SEC045,,ST. ROSE OF LIMA,Grade 4,4,180,Science & Health 4,Rimarim Rimarim,Room 236,Thursday,16:00:00,17:00:00
SEC045,,ST. ROSE OF LIMA,Grade 4,4,180,Science & Health 4,Rimarim Rimarim,Room 164,Tuesday,7:30:00,8:30:00
SEC045,,ST. ROSE OF LIMA,Grade 4,4,185,Araling Panlipunan 4,Rimarim Rimarim,Room 165,Tuesday,8:30:00,9:30:00
SEC045,,ST. ROSE OF LIMA,Grade 4,4,185,Araling Panlipunan 4,Rimarim Rimarim,Room 103,Wednesday,10:30:00,11:00:00
SEC045,,ST. ROSE OF LIMA,Grade 4,4,185,Araling Panlipunan 4,Rimarim Rimarim,Room 110,Wednesday,11:00:00,12:00:00
SEC035,,ST. TERESA OF CALCUTTA,Grade 4,4,185,Araling Panlipunan 4,Rimarim Rimarim,Room 124,Friday,14:00:00,15:00:00
SEC035,,ST. TERESA OF CALCUTTA,Grade 4,4,185,Araling Panlipunan 4,Rimarim Rimarim,Room 220,Friday,16:00:00,17:00:00
SEC035,,ST. TERESA OF CALCUTTA,Grade 4,4,180,Science & Health 4,Rimarim Rimarim,Room 216,Monday,10:30:00,11:00:00
SEC035,,ST. TERESA OF CALCUTTA,Grade 4,4,180,Science & Health 4,Rimarim Rimarim,Room 124,Saturday,11:00:00,12:00:00
SEC035,,ST. TERESA OF CALCUTTA,Grade 4,4,185,Araling Panlipunan 4,Rimarim Rimarim,Room 230,Thursday,11:00:00,12:00:00
SEC035,,ST. TERESA OF CALCUTTA,Grade 4,4,180,Science & Health 4,Rimarim Rimarim,Room 169,Tuesday,9:30:00,10:30:00
SEC035,,ST. TERESA OF CALCUTTA,Grade 4,4,180,Science & Health 4,Rimarim Rimarim,Room 219,Tuesday,10:30:00,11:00:00
