Section ID,Semester,Section Name,Program,Year Level,Subject Code,Subject Name,Teacher Name,Room Name,Day,Start Time,End Time
SEC048,,CHERUBIM,Grade 7,7,8,TLE 7,Tabones Tabones,Room 230,Friday,7:30:00,8:30:00
SEC048,,CHERUBIM,Grade 7,7,6,Christian Living Education 7,Tabones Tabones,Room 234,Friday,9:30:00,10:00:00
SEC048,,CHERUBIM,Grade 7,7,6,Christian Living Education 7,Tabones Tabones,Room 135,Friday,10:00:00,11:00:00
SEC048,,CHERUBIM,Grade 7,7,7,MAPEH 7,Tabones Tabones,Room 165,Saturday,8:30:00,9:30:00
SEC048,,CHERUBIM,Grade 7,7,6,Christian Living Education 7,Tabones Tabones,Room 145,Saturday,9:30:00,10:00:00
SEC048,,CHERUBIM,Grade 7,7,7,MAPEH 7,Tabones Tabones,Room 205,Thursday,15:00:00,16:00:00
SEC048,,CHERUBIM,Grade 7,7,7,MAPEH 7,Tabones Tabones,Room 168,Thursday,16:00:00,17:00:00
SEC028,,ST. ANTHONY OF PADUA,Grade 7,7,6,Christian Living Education 7,Tabones Tabones,Room 173,Monday,11:00:00,12:00:00
SEC028,,ST. ANTHONY OF PADUA,Grade 7,7,7,MAPEH 7,Tabones Tabones,Room 194,Monday,14:00:00,15:00:00
SEC028,,ST. ANTHONY OF PADUA,Grade 7,7,7,MAPEH 7,Tabones Tabones,Room 125,Tuesday,9:30:00,10:00:00
SEC028,,ST. ANTHONY OF PADUA,Grade 7,7,8,TLE 7,Tabones Tabones,Room 231,Tuesday,14:00:00,15:00:00
SEC028,,ST. ANTHONY OF PADUA,Grade 7,7,8,TLE 7,Tabones Tabones,Room 167,Wednesday,16:00:00,17:00:00
SEC074,,ST. CATHERINE OF SIENA,Grade 7,7,8,TLE 7,Tabones Tabones,Room 108,Friday,11:00:00,12:00:00
SEC074,,ST. CATHERINE OF SIENA,Grade 7,7,8,TLE 7,Tabones Tabones,Room 235,Monday,15:00:00,16:00:00
SEC074,,ST. CATHERINE OF SIENA,Grade 7,7,6,Christian Living Education 7,Tabones Tabones,Room 176,Saturday,16:00:00,17:00:00
SEC061,,ST. JAMES,Grade 7,7,6,Christian Living Education 7,Tabones Tabones,Room 158,Saturday,11:00:00,12:00:00
SEC061,,ST. JAMES,Grade 7,7,7,MAPEH 7,Tabones Tabones,Room 223,Thursday,9:30:00,10:00:00
SEC061,,ST. JAMES,Grade 7,7,8,TLE 7,Tabones Tabones,Room 187,Tuesday,7:30:00,8:30:00
SEC061,,ST. JAMES,Grade 7,7,7,MAPEH 7,Tabones Tabones,Room 166,Tuesday,11:00:00,12:00:00
SEC061,,ST. JAMES,Grade 7,7,7,MAPEH 7,Tabones Tabones,Room 189,Wednesday,11:00:00,12:00:00
SEC038,,ST. LAWRENCE,Grade 7,7,7,MAPEH 7,Tabones Tabones,Room 194,Monday,12:00:00,13:00:00
SEC038,,ST. LAWRENCE,Grade 7,7,6,Christian Living Education 7,Tabones Tabones,Room 176,Thursday,10:00:00,11:00:00
SEC038,,ST. LAWRENCE,Grade 7,7,7,MAPEH 7,Tabones Tabones,Room 117,Tuesday,8:30:00,9:30:00
SEC038,,ST. LAWRENCE,Grade 7,7,6,Christian Living Education 7,Tabones Tabones,Room 177,Tuesday,16:00:00,17:00:00
