Section ID,Semester,Subject Code,Subject Name,Program,Year Level,Teacher Name,Room Name,Day,Start Time,End Time
SEC022,OUR LADY OF CHARTRES,Grade 1,1,155,Mathematics 1,Achapero Achapero,Room 233,Friday,7:30:00,8:30:00,
SEC032,ST. ANNE,Grade 1,1,154,Language 1,Obedoza Obedoza,Room 126,Friday,8:30:00,9:30:00,
SEC055,ST. DOMINIC SAVIO,Grade 1,1,157,Makabansa 1,Gutierrez Gutierrez,Room 185,Friday,8:30:00,9:30:00,
SEC055,ST. DOMINIC SAVIO,Grade 1,1,154,Language 1,Obedoza Obedoza,Room 178,Friday,9:30:00,10:00:00,
SEC032,ST. ANNE,Grade 1,1,156,Christian Living Education 1,Achapero Achapero,Room 153,Friday,10:30:00,11:00:00,
SEC068,ST. PEDRO CALUNGSOD,Grade 1,1,157,Makabansa 1,Gutierrez Gutierrez,Room 179,Friday,10:30:00,11:00:00,
SEC042,ST. AGNES,Grade 1,1,157,Makabansa 1,Gutierrez Gutierrez,Room 245,Friday,11:00:00,12:00:00,
SEC068,ST. PEDRO CALUNGSOD,Grade 1,1,155,Mathematics 1,Achapero Achapero,Room 159,Friday,11:00:00,12:00:00,
SEC068,ST. PEDRO CALUNGSOD,Grade 1,1,156,Christian Living Education 1,Achapero Achapero,Room 184,Friday,12:00:00,13:00:00,
SEC068,ST. PEDRO CALUNGSOD,Grade 1,1,157,Makabansa 1,Gutierrez Gutierrez,Room 246,Friday,12:00:00,13:00:00,
SEC055,ST. DOMINIC SAVIO,Grade 1,1,144,Reading and Literacy 1,Obedoza Obedoza,Room 220,Friday,14:00:00,15:00:00,
SEC055,ST. DOMINIC SAVIO,Grade 1,1,155,Mathematics 1,Achapero Achapero,Room 126,Friday,14:00:00,15:00:00,
SEC032,ST. ANNE,Grade 1,1,155,Mathematics 1,Achapero Achapero,Room 149,Monday,7:30:00,8:30:00,
SEC022,OUR LADY OF CHARTRES,Grade 1,1,144,Reading and Literacy 1,Obedoza Obedoza,Room 193,Monday,7:30:00,8:30:00,
